set|date|setID
Series 1: Premier Edition|2005-05-01|4380
Series 2: Supreme Power of Golden Spell|2005-10-07|4381
Series 3: The Gathering Storm|2006-03-01|4382
Series 4: Dawn of the Ancients||4383
The Gathering Storm Elite Collection: League of Symmetry - Wonreu||4386
The Gathering Storm Elite Collection: League of Symmetry - Zatch Bell||4387
The Gathering Storm Elite Collection: Imminent Destruction - Brago||4388
The Gathering Storm Elite Collection: Imminent Destruction - Zatch Bell||4389
SPELL BOOK: Bari||4390
SPELL BOOK: Brago||4391
SPELL BOOK: Kanchomé||4392
SPELL BOOK: Tia||4393
SPELL BOOK: Wonrei||4394
SPELL BOOK: Zatch Bell||4395
SPELL BOOK: Zeno||4396
SPELL BOOK: Zofis||4397
Rare Crimson Foil Spell Book & Starter Set #1||4398
Rare Crimson Foil Spell Book & Starter Set #2||4399
Rare Silver Foil Spell Book & Starter Set #1||4400
Rare Silver Foil Spell Book & Starter Set #2||4401
