set|date|setID
Speed Duel GX: Midterm Paradox|2022-10-06|5297
Speed Duel Tournament Pack 4|2022-09-29|5298
Yu-Gi-Oh! Championship Series 2022 prize card|2022-10-16|5299
Blazing Vortex|2021-02-04|3264
The Lost Art Promotion 2021 A|2021-01-01|3473
Legendary Duelists: Season 2|2021-01-21|3488
OTS Tournament Pack 15|2021-02-18|3551
Structure Deck: Freezing Chains|2021-02-18|3612
Ghosts From the Past|2021-04-15|4420
Ancient Guardians|2021-04-29|4431
Lightning Overdrive|2021-05-13|4446
Egyptian God Deck: Obelisk the Tormentor|2021-06-17|4595
Egyptian God Deck: Slifer the Sky Dragon|2021-06-17|4596
King's Court|2021-07-08|4606
OTS Tournament Pack 16|2021-06-09|4607
Dawn of Majesty|2021-08-12|4610
2021 Tin of Ancient Battles|2021-09-30|4646
OTS Tournament Pack 17|2021-10-14|4766
Legendary Duelists: Synchro Storm|2021-06-15|4771
Burst of Destiny|2021-10-21|4801
Structure Deck: Cyber Strike|2021-10-14|4802
Maximum Gold: El Dorado|2021-11-18|4821
Brothers of Legend|2021-12-02|4904
KC Grand Tournament 2021 prize card|2021-08-28|4925
Yu-Gi-Oh! TCG Remote Duel Extravaganza participation card|2021-05-22|4926
Palladium Oracle Mahad Sweepstakes|2021-06-01|4934
KC Grand Tournament prize card|2020-08-29|3241
Battles of Legend: Armageddon|2020-07-24|3260
Dragons of Legend: The Complete Series|2020-09-10|3336
Duel Overload|2020-03-19|3383
Eternity Code|2020-06-01|3393
Genesis Impact|2020-12-03|3406
Ignition Assault|2020-01-31|3441
SJ Jump Pack Spring 2020 promotional card|2020-02-01|3453
The Lost Art Promotion 2020 D|2020-06-01|3472
Legendary Duelists: Season 1|2020-07-03|3487
Legendary Duelists: Magical Hero|2020-01-17|3493
Legendary Duelists: Rage of Ra|2020-09-24|3494
Maximum Gold|2020-11-12|3506
2020 Tin of Lost Memories Mega Pack|2020-08-27|3524
Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack Secret Edition|2020-01-23|3530
OTS Tournament Pack 13|2020-06-15|3549
OTS Tournament Pack 14|2020-10-08|3550
Trials of the Pharaoh - Match of the Millennium & Twisted Nightmares promotional card|2020-08-01|3552
Phantom Rage|2020-11-05|3562
Rise of the Duelist|2020-08-06|3582
Speed Duel: Battle City Box|2020-11-26|3589
Remote Duel at Home Sweepstakes|2020-10-01|3591
Structure Deck: Spirit Charmers|2020-10-22|3605
Structure Deck: Sacred Beasts|2020-07-10|3632
Structure Deck: Shaddoll Showdown|2020-02-13|3636
Secret Slayers|2020-04-03|3643
Structure Deck: Mechanized Madness|2020-04-16|3675
Speed Duel Starter Decks: Match of the Millennium|2020-05-15|3680
Speed Duel Starter Decks: Twisted Nightmares|2020-05-15|3681
Toon Chaos|2020-06-19|3698
Yu-Gi-Oh! ARC-V Volume 7 promotional card|2020-06-02|3747
Speed Duel Demo Deck 2020|2020-01-01|4927
Yu-Gi-Oh! World Championship 2019 Japanese National Qualifiers prize cards|2019-02-01|3240
Yu-Gi-Oh! Advent Calendar|2019-09-26|3248
Battles of Legend: Hero's Revenge|2019-06-11|3261
Chaos Impact|2019-10-24|3274
Dark Neostorm|2019-05-02|3308
Speed Duel Demo Deck|2019-06-08|3320
Duel Devastator|2019-10-11|3381
Duel Power|2019-04-03|3384
Event Pack Speed Duel|2019-08-01|3394
Fists of the Gadgets|2019-08-22|3399
The Infinity Chasers|2019-03-21|3442
WSJ Jump Pack Spring 2019 promotional card|2019-01-01|3452
The Lost Art Promotion G|2019-01-01|3471
Legendary Duelists: Sisters of the Rose|2019-01-10|3491
Legendary Duelists: Immortal Destiny|2019-09-26|3492
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution promotional cards|2019-08-20|3500
2019 Gold Sarcophagus Tin Mega Pack|2019-08-29|3523
Mystic Fighters|2019-11-22|3532
OTS Tournament Pack 10|2019-04-18|3546
OTS Tournament Pack 11|2019-08-15|3547
OTS Tournament Pack 12|2019-12-05|3548
Rising Rampage|2019-06-26|3579
Savage Strike|2019-01-31|3587
Speed Duel: Attack from the Deep|2019-05-31|3588
Speed Duel: Arena of Lost Souls|2019-03-28|3590
Speed Duel: Scars of Battle|2019-08-01|3592
Speed Duel: Trials of the Kingdom|2019-12-06|3593
Structure Deck: Rokket Revolt|2019-08-15|3631
Structure Deck: Soulburner|2019-02-14|3633
Structure Deck: Order of the Spellcasters|2019-04-25|3674
Speed Duel Starter Decks: Destiny Masters|2019-01-24|3677
Speed Duel Starter Decks: Duelists of Tomorrow|2019-01-24|3678
Speed Duel Starter Decks: Ultimate Predators|2019-08-01|3679
Speed Duel Tournament Pack 1|2019-04-18|3685
Speed Duel Tournament Pack 2|2019-10-10|3686
2019 Gold Sarcophagus Tin|2019-08-29|3697
Yu-Gi-Oh! ARC-V Volume 5 promotional card|2019-03-05|3745
Yu-Gi-Oh! ARC-V Volume 6 promotional card|2019-09-03|3746
Yu-Gi-Oh! Championship Series 2019 prize card|2019-08-25|3755
Yu-Gi-Oh! Day April 2019 promotional card|2019-04-06|3760
Yu-Gi-Oh! World Championship 2018 prize cards|2018-08-05|3239
Yu-Gi-Oh! Advent Calendar (2018)|2018-10-25|3247
Battles of Legend: Relentless Revenge|2018-06-28|3263
2018 Mega-Tins|2018-08-30|3305
Cybernetic Horizon|2018-07-26|3307
Dark Saviors|2018-05-24|3309
Advanced Demo Deck Extra Pack|2018-01-06|3319
Extreme Force|2018-02-01|3395
Flames of Destruction|2018-05-03|3401
Hidden Summoners|2018-11-15|3431
WSJ Jump Pack Fall 2018 promotional card|2018-09-01|3451
Weekly Shonen Jump April 2018 membership promotional card|2018-05-01|3461
The Lost Art Promotion A|2018-02-01|3470
Legendary Collection Kaiba|2018-03-08|3479
Legendary Collection Kaiba Mega Pack|2018-03-08|3483
Legendary Duelists: Ancient Millennium|2018-02-22|3489
Legendary Duelists: White Dragon Abyss|2018-09-27|3490
Legendary Hero Decks|2018-10-04|3497
2018 Mega-Tin Mega Pack|2018-08-30|3522
Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack Special Edition|2018-09-07|3529
OTS Tournament Pack 7|2018-04-13|3543
OTS Tournament Pack 8|2018-08-17|3544
OTS Tournament Pack 9|2018-12-06|3545
Structure Deck: Powercode Link|2018-08-09|3628
Shadows in Valhalla|2018-08-16|3645
Soul Fusion|2018-10-18|3655
Star Pack VRAINS|2018-03-29|3664
Structure Deck: Wave of Light|2018-01-18|3671
Structure Deck: Lair of Darkness|2018-04-19|3672
Structure Deck: Zombie Horde|2018-11-01|3673
Yu-Gi-Oh! ARC-V Volume 3 promotional card|2018-03-06|3743
Yu-Gi-Oh! ARC-V Volume 4 promotional card|2018-11-06|3744
Yu-Gi-Oh! Championship Series 2018 prize card|2018-09-22|3754
Starter Deck: Codebreaker|2018-07-12|3793
Yugi & Kaiba Collector Box|2018-03-29|3800
Yugi & Kaiba Collector Box|2018-03-29|5172
Yu-Gi-Oh! World Championship 2017 prize cards|2017-08-13|3238
Battles of Legend: Light's Revenge|2017-07-06|3262
Circuit Break|2017-10-19|3275
Code of the Duelist|2017-08-03|3278
2017 Mega-Tins|2017-08-24|3304
Duelist Pack: Dimensional Guardians|2017-05-25|3358
Duelist Saga|2017-03-30|3385
Fusion Enforcers|2017-02-23|3404
WSJ Jump Pack Fall 2017 promotional card|2017-08-01|3450
Weekly Shonen Jump April 2017 membership promotional card|2017-04-01|3460
Kaiba's Collector Box|2017-11-17|3469
Legendary Dragon Decks|2017-10-05|3495
Legendary Duelists|2017-09-07|3496
Maximum Crisis|2017-05-04|3505
2017 Mega-Tin Mega Pack|2017-08-24|3521
Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack: Gold Edition|2017-01-12|3528
Yu-Gi-Oh! The Dark Side of Dimensions Blu-ray & DVD promotional card|2017-05-29|3531
OTS Tournament Pack 4|2017-04-06|3540
OTS Tournament Pack 5|2017-08-03|3541
OTS Tournament Pack 6|2017-12-07|3542
Pendulum Evolution|2017-06-22|3557
Raging Tempest|2017-02-09|3574
Structure Deck: Cyberse Link|2017-11-02|3606
Pendulum Domination Structure Deck|2017-01-19|3627
Star Pack Battle Royal|2017-03-09|3663
Spirit Warriors|2017-11-16|3666
Machine Reactor Structure Deck|2017-04-13|3669
Dinosmasher's Fury Structure Deck|2017-04-13|3670
Yu-Gi-Oh! ARC-V Volume 1 promotional card|2017-04-04|3741
Yu-Gi-Oh! ARC-V Volume 2 promotional card|2017-09-05|3742
Yu-Gi-Oh! Championship Series 2017 prize card|2017-08-27|3753
Starter Deck: Link Strike|2017-07-20|3792
Yugi's Collector Box|2017-09-15|3799
Breakers of Shadow|2016-01-14|3265
