set|date|setID
Yu-Gi-Oh! World Championship 2008 promotional cards|2007-12-04|3723
Yu-Gi-Oh! World Championship 2007 prize cards|2007-07-28|3731
Yu-Gi-Oh! GX Card Almanac promotional cards|2007-11-30|3759
Yu-Gi-Oh! GX Volume 1 promotional card|2007-11-06|3771
Starter Deck: Jaden Yuki|2007-07-25|3795
Starter Deck: Syrus Truesdale|2007-07-25|3796
Cyberdark Impact|2006-11-15|3273
Champion Pack: Game One|2006-11-11|3279
Collectible Tins 2006 Wave 1|2006-09-11|3291
Duelist League Series 10 participation card|2006-04-28|3323
Duelist League Series 9 participation card|2006-01-03|3335
Duelist Pack: Jaden Yuki|2006-02-08|3350
Duelist Pack: Chazz Princeton|2006-02-08|3353
Dark Revelation Volume 3|2006-11-25|3366
Enemy of Justice|2006-05-17|3391
Yu-Gi-Oh! GX Special Edition|2006-04-01|3414
Yu-Gi-Oh! GX Tag Force promotional cards|2006-11-16|3415
Yu-Gi-Oh! GX Duel Academy promotional cards|2006-01-10|3420
Hobby League 3 participation card A|2006-01-01|3432
Hobby League 2 participation card A|2006-01-01|3439
Shonen Jump Vol. 4, Issue 1 promotional card|2006-01-01|3447
Shonen Jump May 2006 subscription bonus|2006-05-01|3467
McDonald's Promotional Cards 2|2006-12-26|3509
Mattel Action Figure promotional cards: Series 1|2006-01-01|3510
Mattel Action Figure promotional cards: Series 2|2006-01-01|3511
Mattel Action Figure promotional cards: Series 3|2006-01-01|3512
Power of the Duelist|2006-08-16|3564
Pharaoh Tour 2006 promotional cards|2006-10-28|3570
Yu-Gi-Oh! Double Pack promotional cards|2006-02-22|3581
Structure Deck: Dinosaur's Rage|2006-10-20|3594
Structure Deck: Spellcaster's Judgment|2006-01-18|3601
Structure Deck: Invincible Fortress|2006-05-15|3602
Structure Deck: Lord of the Storm|2006-07-12|3603
Shonen Jump Championship 2006 Prize Card|2006-05-06|3648
Shadow of Infinity|2006-02-18|3656
Cyberdark Impact Sneak Peek Participation Card|2006-11-04|3658
Enemy of Justice Sneak Peek Participation Card|2006-05-13|3665
San Diego Comic-Con promotional cards|2006-07-20|3695
Tournament Pack 8|2006-04-28|3706
Yu-Gi-Oh! GX Ultimate Beginner's Pack|2006-07-19|3719
Ultimate Edition 2|2006-11-11|3720
Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006 promotional cards|2006-03-14|3729
Yu-Gi-Oh! World Championship 2006 prize cards|2006-07-02|3732
Starter Deck 2006|2006-03-23|3794
Duelist League Series 2 participation cards|2006-04-28|4929
Duelist League Series 3 participation card|2006-04-28|4930
Duelist League Series 4 participation card|2006-04-28|4931
Duelist League Series 5 participation card|2006-04-28|4932
Duelist Pack: Special Edition|2006-03-09|5273
Cybernetic Revolution|2005-08-17|3289
Collectible Tins 2005|2005-09-01|3306
Dark Beginning 2|2005-07-27|3311
Duelist League Series 7 participation card|2005-04-01|3333
Duelist League Series 8 participation card|2005-06-30|3334
Dark Revelation Volume 1|2005-03-19|3364
Dark Revelation Volume 2|2005-10-20|3365
Elemental Energy|2005-11-16|3387
Flaming Eternity|2005-03-01|3397
Forbidden Legacy|2005-10-01|3400
Hobby League 1 participation cards C|2005-01-01|3438
Shonen Jump Vol. 3, Issue 1 promotional card|2005-01-01|3448
Master Collection Volume 2|2005-10-18|3508
Yu-Gi-Oh! Nightmare Troubadour promotional cards|2005-08-30|3535
Pharaoh Tour 2005 promotional cards|2005-12-17|3572
Rise of Destiny: Special Edition|2005-02-01|3576
Structure Deck: Deluxe Edition|2005-01-01|3595
Structure Deck: Zombie Madness|2005-01-01|3597
Structure Deck: Blaze of Destruction|2005-05-09|3598
Structure Deck: Fury from the Deep|2005-05-09|3599
Structure Deck: Warrior's Triumph|2005-10-28|3600
Shonen Jump Championship 2005 Prize Card|2005-08-20|3649
Cybernetic Revolution Sneak Peek Participation Card|2005-08-06|3659
The Lost Millennium|2005-06-01|3696
Tournament Pack 6|2005-06-01|3704
Tournament Pack 7|2005-11-01|3705
Make-A-Wish Foundation promotional card|2005-08-05|3718
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005 promotional cards|2005-02-15|3728
Yu-Gi-Oh! World Championship 2005 prize cards|2005-08-07|3734
Dark Beginning 2|2005-07-27|5269
Ancient Sanctuary|2004-06-01|3258
Yu-Gi-Oh! Capsule Monster Coliseum promotional cards|2004-11-26|3276
Collectible Tins 2004|2004-09-01|3299
Dark Beginning 1|2004-10-12|3310
Yu-Gi-Oh! Destiny Board Traveler promotional cards|2004-10-26|3312
Duelist League Series 6 participation card|2004-12-01|3332
Yu-Gi-Oh! The Dawn of Destiny promotional cards|2004-03-23|3341
Yu-Gi-Oh! Trading Card Game Tour 2004 promotional card|2004-06-19|3390
Exclusive Pack|2004-08-01|3392
Hobby League 1 participation cards A|2004-10-01|3437
Invasion of Chaos|2004-03-01|3444
Shonen Jump Vol. 2, Issue 1 promotional card|2004-01-01|3445
Master Collection Volume 1|2004-12-01|3507
Movie Pack|2004-08-13|3515
Yu-Gi-Oh! Power of Chaos: Joey the Passion promotional cards|2004-06-29|3554
Yu-Gi-Oh! Power of Chaos: Kaiba the Revenge promotional cards|2004-04-06|3555
Rise of Destiny|2004-11-20|3575
Yu-Gi-Oh! Reshef of Destruction promotional cards|2004-06-29|3580
Shonen Jump Championship 2004 Prize Card|2004-12-04|3647
Starter Deck: Kaiba Evolution|2004-03-01|3653
Soul of the Duelist|2004-10-01|3654
Starter Deck: Yugi Evolution|2004-03-01|3687
Tournament Pack 5|2004-11-01|3703
Yu-Gi-Oh! World Championship Tournament 2004 promotional cards|2004-02-10|3727
Yu-Gi-Oh! World Championship 2004 prize cards|2004-07-25|3733
Dark Beginning 1|2004-10-12|5337
Collectible Tins 2003|2003-09-01|3270
Dark Crisis|2003-12-01|3313
Duel Master's Guide promotional cards|2003-10-28|3339
Yu-Gi-Oh! The Duelists of the Roses promotional cards|2003-02-16|3342
Legacy of Darkness|2003-06-06|3499
Labyrinth of Nightmare|2003-03-01|3502
Magician's Force|2003-10-10|3513
Yu-Gi-Oh! Power of Chaos: Yugi the Destiny Limited Collector's Edition|2003-11-18|3556
Pharaonic Guardian|2003-07-18|3558
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel promotional cards|2003-04-15|3608
Starter Deck: Joey|2003-03-30|3616
Starter Deck: Pegasus|2003-03-30|3626
Yu-Gi-Oh! The Falsebound Kingdom promotional cards|2003-11-04|3693
Tournament Pack: 3rd Season|2003-03-01|3701
Tournament Pack 4|2003-10-01|3702
Yu-Gi-Oh! The Sacred Cards promotional cards|2003-11-04|3707
Duelist League Series 1 participation cards|2003-01-01|5272
Booster Pack Collectors Tins 2002|2002-10-04|3269
Yu-Gi-Oh! Dark Duel Stories promotional cards|2002-03-19|3314
Yu-Gi-Oh! The Eternal Duelist Soul promotional cards|2002-10-15|3386
Yu-Gi-Oh! Forbidden Memories promotional cards|2002-11-25|3402
Shonen Jump Vol. 1, Issue 1 promotional card|2002-11-26|3446
Legend of Blue Eyes White Dragon|2002-03-08|3498
McDonald's Promotional Cards|2002-12-20|3517
Metal Raiders|2002-06-26|3525
Magic Ruler|2002-09-16|3526
Pharaoh's Servant|2002-10-20|3569
Starter Deck: Kaiba|2002-03-29|3617
Starter Deck: Yugi|2002-03-29|3639
Spell Ruler|2002-09-16|3676
Tournament Pack: 1st Season|2002-09-01|3699
Tournament Pack: 2nd Season|2002-10-01|3700
Summoned Skull Sample promotional card|2001-01-01|3640
