set|date|setID
Heroes of Azeroth|2006-10-01|495
Through the Dark Portal|2007-04-01|958
Fires of Outland|2007-08-01|960
March of the Legion|2007-12-01|1057
Servants of the Betrayer|2008-04-01|1060
The Hunt for Illidan|2008-07-01|1061
Burning Crusade: Collectors Edition|2007-01-16|1301
Drums of War|2008-11-01|1109
Blood of Gladiators|2009-03-01|1297
Fields of Honor|2009-06-01|1298
Drums of War: Promos||1925
Drums of War: Starter Exclusives||1923
Scourgewar|2009-11-01|1299
Wrath Gate|2010-05-01|1300
Icecrown|2010-09-01|1302
Worldbreaker|2010-12-01|1303
War of the Elements|2011-04-01|1304
Twilight of the Dragons|2011-07-01|1712
Throne of the Tides|2011-10-01|1713
Crown of the Heavens|2012-02-01|1714
Tomb of the Forgotten|2012-06-01|1715
Timewalkers||1716
War of the Ancients|2012-10-01|1717
Betrayal of the Guardian|2013-02-01|1718
Reign of Fire|2013-07-01|1719
Onyxia's Lair|2006-12-01|957
Molten Core|2007-05-01|959
Magtheridon's Lair|2008-01-01|1059
Black Temple|2008-09-01|1294
Naxxramas|2009-12-01|1295
Assault on Icecrown Citadel|2011-03-01|1296
Battle of the Aspects|2012-08-01|1721
Caverns of Time|2013-04-01|1722
Shadowfang Keep|2011-11-01|1720
Scarlet Monastery|2011-11-01|1870
The Deadmines|2011-11-01|1871
Dungeon Decks: Treasure||2175
Death Knight Starter|2009-06-16|1872
2010 Class Starter Sets|2010-07-01|1873
Alliance Death Knight|2011-06-01|1901
Alliance Druid|2011-06-01|1902
Alliance Hunter|2011-06-01|1903
Alliance Mage|2011-06-01|1904
Alliance Paladin|2011-06-01|1905
Alliance Priest|2011-06-01|1906
Alliance Rogue|2011-06-01|1907
Alliance Shaman|2011-06-01|1909
Alliance Warlock|2011-06-01|1910
Alliance Warrior|2011-06-01|1911
Horde Death Knight|2011-06-01|1912
Horde Druid|2011-06-01|1913
Horde Hunter|2011-06-01|1914
Horde Mage|2011-06-01|1915
Horde Paladin|2011-06-01|1916
Horde Priest|2011-06-01|1917
Horde Rogue|2011-06-01|1918
Horde Shaman|2011-06-01|1919
Horde Warlock|2011-06-01|1920
Horde Warrior|2011-06-01|1921
Bonus Reprints||1922
Jaina Proudmoore||1885
Sylvanas Windrunner||1886
Hogger||1887
Murkdeep||1888
Elderlimb||1889
Epic Bonus Reprints||1890
Alliance Hunter|2013-01-02|1891
Alliance Priest|2013-01-02|1892
Alliance Rogue|2013-01-02|1893
Alliance Shaman|2013-01-02|1894
Alliance Warlock|2013-01-02|1895
Horde Death Knight|2013-01-02|1896
Horde Druid|2013-01-02|1897
Horde Mage|2013-01-02|1898
Horde Paladin|2013-01-02|1899
Horde Warrior|2013-01-02|1900
Feast of Winter Veil|2007-11-01|1058
Darkmoon Faire|2008-09-09|1082
Arena Grand Melee|2009-05-05|1305
Feast of Winter Veil Collector's Set|2012-12-01|1876
Badges: Burning Crusade||2177
Badges: Scourgewar||2180
Badges: Worldbreaker||2182
Badges: Aftermath||2184
Badges: Timewalkers||2186
Crafting: Burning Crusade||2176
Crafting: Drums of War||2178
Crafting: Scourgewar||2179
Crafting: Worldbreaker||2181
Crafting: Aftermath||2183
Crafting: Timewalkers||2185
Blizcon 2007 Promos|2007-01-01|1924
Blizzard Employee Promo 2009|2009-01-01|1926
Blizzard Employee Promo 2010|2010-01-01|1927
Blizzcon 2011: Promo|2011-01-01|1929
Wrath of the Lich King Promo Set|2008-11-01|1880
Cataclysm Promo Set|2010-12-07|1881
2011 Showdown: Goblins of Anarchy||1882
WOW Token Promo Cards||2374
Worldbreaker: Holiday Promos||1928
Aftermath: Holiday Promos||1883
Timewalkers: Holiday Promos||1884
Foils: Betryal of the Guardian||3024
Foils: Blood of the Gladiators||3025
Foils: Crown of the Heavens||3026
Foils: Death Knight Starter||3027
Foils: Drums of War||3028
Foils: Fields of Honor||3029
Foils: Hunt for Illidan||3030
Foils: Icecrown||3031
Foils: Scourge of War||3032
Foils: Servants of the Betrayer||3033
Foils: Throne of the Tides||3034
Foils: Tomb of the Forgotten||3035
Foils: Twilight of the Dragons||3036
Foils: War of the Ancients||3037
Foils: War of the Elements||3038
Foils: Worldbreaker||3039
Foils: Wrathgate||3040
Extended Art: Archive||3041
Extended Art: Betrayal of the Guardian||3042
Extended Art: Blood of the Gladiators||3043
Extended Art: Crown of the Heavens||3044
Extended Art: Drums of War||3045
Extended Art: Dungeon Treasure||3046
Extended Art: Feast of Winterveil||3047
Extended Art: Fields of Honor||3048
Extended Art: Fires of Outland||3049
Extended Art: Heroes of Azeroth||3050
Extended Art: Hunt For Illidan||3051
Extended Art: Icecrown||3052
Extended Art: March of the Legion||3053
Extended Art: Reign of Fire||3054
Extended Art: ScourgeWar||3055
Extended Art: Servants of the Betrayer||3056
Extended Art: Throne of the Tides||3057
Extended Art: Through the Dark Portal||3058
Extended Art: Tomb of the Forgotten||3059
Extended Art: Twilight of the Dragons||3060
Extended Art: War of the Ancients||3061
Extended Art: Worldbreaker||3062
Extended Art: Wrathgate||3063
Loot: Heroes of Azeroth||3078
Loot: Through the Dark Portal||3079
Loot: Fires of Outland||3080
Loot: March of the Legion||3081
Loot: Servants of the Betrayer||3082
Loot: Hunt For Illidan||3083
Loot: Drums Of War||3084
Loot: Blood Of Gladiators||3085
Loot: Fields of Honor||3086
Loot: ScourgeWar||3087
Loot: Wrathgate||3088
Loot: Icecrown||3089
Loot: Worldbreaker||3090
Loot: War of the Elements||3091
Loot: Twilight of the Dragons||3092
Loot: Throne of the Tides||3093
Loot: Crown of the Heavens||3094
Loot: Tomb of the Forgotten||3095
Loot: War of the Ancients||3096
Loot: Betrayal of the Guardian||3097
