set|date|setID
B01 - Shadow of the Forest|2008-10-25|4993
B02 - The Strong Ties|2008-12-20|4994
B03 - The Crimson Emperor|2009-03-14|4995
B04 - Golden Fury|2009-06-26|4996
B05 - King of the Ocean|2009-09-18|4997
B06 - King of the Frozen|2009-12-18|4998
B07 - Arms of Hellfire|2010-03-11|4999
B08 - Fang Rage|2010-10-22|5000
S01 - Rio Leus Starter|2008-10-25|5002
S02 - White Phantom Beast Giraffe Half Starter|2009-04-23|5003
S03 - Jet Black Sword Dragon Nargakuruga Half Starter|2009-04-23|5004
S04 - MH3 release commemorative special card set|2009-08-01|5005
S05 - Kushaldaora Concept Deck|2009-11-13|5006
S06 - Theo Tescatl Concept Deck|2009-11-13|5007
S07 - Verio Ross Half Starter|2010-03-11|5008
S08 - Lagiacrus Half Starter|2010-03-11|5009
Monster Hunter  Promo Cards||5001
