set|date|setID
Dawn of Perim|2007-06-27|1306
Zenith of the Hive||1310
Silent Sands||1311
Beyond the Doors||1312
Rise of the Oligarch||1313
Turn of the Tide||1314
Forged Unity||1315
Alliances Unraveled||1316
Fire and Stone||4365
Organized Play 1||1319
Premium Edition 1||4366
Beyond Rare||4369
League Rewards||1317
Promo||1318
Prototype||4370
