set|date|setID
DM-01: Base Set|2004-03-01|897
DM-02: Evo Crushinators Of Doom|2004-05-07|898
DM-03: Rampage Of The Super Warriors|2004-08-06|899
DM-04: Shadow Clash Of Blinding Night|2004-11-13|900
DM-05: Survivors Of The Megapocalypse|2005-01-15|901
DM-06: Stomp-a-Trons Of Invincible Wrath|2005-04-01|902
DM-07: Thundercharge of Ultra Destruction|2005-07-01|903
DM-08: Epic Dragons of Hyperchaos|2005-10-01|905
DM-09: Fatal Brood of Infinite Ruin|2006-01-05|904
DM-10: Shockwaves of the Shattered Rainbow|2006-04-01|906
DM-11: Blastplosion of Gigantic Rage|2006-07-01|907
DM-12: Thrash of the Hybrid Megacreatures|2006-11-01|908
Event Promos - Year 1||2785
Event Promos - Year 2||2786
Tournament Promos - Year 1||2787
Tournament Promos - Year 2||2788
JDL League Promos - Year 1||2789
JDL League Promos - Year 2||2790
Sempai Legends Atari Promos||2791
McDonalds Promos||2792
Burger King Promos||2793
D-MAX Reward Promos||2794
Starter Deck Promos||2795
Shadowclash Collector Tin Promos||2796
Kellogg's Promos||2797
Duel Masters Comic Promos||2798
German Panini Promos||2799
Italian Duel Masters Magazine Promos||2800
