set|date|setID
Gospel of Christ||5128
The Lineage of Christ||5127
Prophecies of Christ||5125
The Fall of Man||5124
Revelation of John - Special Edition||5126
Revelation of John||5123
Cloud of Witnesses - Special Edition||5141
Cloud of Witnesses||5122
The Persecuted Church||5121
The Early Church||5120
Rock of Ages - Collectors Tin||5119
4th Edition Starter - J||5133
4th Edition Starter - I||5118
Rock of Ages - Extended||5117
Faith of Our Fathers - Extended||5116
The Disciples||5115
Thesaurus Ex Preteritus||5114
Rock of Ages||5113
Faith of Our Fathers||5112
Priests||711
Angel Wars||710
3rd Edition Starter - H||5132
3rd Edition Starter - G||5131
3rd Edition Starter - F||5130
3rd Edition Starter - E||714
Kings||709
Patriarchs||708
Apostles||707
2nd Edition Starter - D||5129
2nd Edition Starter - C||713
Warriors||706
Women||705
Prophets||704
Original - Unlimited||703
Original - Limited||702
1st Edition Starter - B||5140
1st Edition Starter - A||5101
Promo||712
