set|date|setID
BT01: Dragon Chief|2014-01-31|4491
BT02: Cyber Ninja Squad|2014-04-05|4492
BT03: Drum’s Adventures|2014-07-04|4493
BT04: Darkness Fable|2014-10-10|4494
BT05: Break to the Future|2015-01-09|4495
H-BT01: Neo Enforcer ver.E|2015-05-01|4496
H-BT02: Galaxy Burst|2015-07-17|4497
H-BT03: Assault of the Omni Lords|2015-10-16|4498
H-BT04: Mikado Evolution|2016-01-22|4499
D-BT01: Unleash! Impact Dragon!!|2016-04-15|4500
D-BT02: Roar! Invincible Dragon!!|2016-07-01|4502
D-BT03: Annihilate! Great Demonic Dragon!!|2016-10-21|4504
D-BT04: Shine! Super Sun Dragon!!|2016-12-23|4505
X-BT01: The Dark Lord's Rebirth|2017-04-01|4507
X-BT02: Chaos Control Crisis|2017-07-01|4509
X-BT03: Overturn! Thunder Empire!!|2017-10-20|4511
X-BT04: Rainbow Striker|2017-12-22|4513
X2-BT01: Buddy Legends|2018-04-20|4516
S-BT01: Gargantua Awakened|2018-08-31|4518
S-BT02: Dimension Destroyer|2018-11-02|4520
S-BT03: True Awakening of Deities|2019-01-11|4521
S-BT04: Drago Knight|2019-05-10|4522
S-BT05: War of Dragods|2019-08-23|4525
S-BT06: Soaring Superior Deity Dragon|2019-11-22|4527
S-BT07: Perfected Time Ruler|2020-01-24|4528
D-BT01A: Buddy Rave|2016-06-24|4501
D-BT02A: Four Dimensions|2016-09-23|4503
X-BT01A: Crossing Generations|2017-06-16|4508
X-BT02A: Evolution & Mutation|2017-08-25|4510
X-BT03A: LVL Up! Heroes & Adventurers!|2017-09-22|4512
X-BT04A: New World Chaos|2018-03-23|4514
X2-BT01A: Solar Strife|2018-06-15|4517
S-BT01A: Buddy Lineage|2018-12-14|4519
S-BT02A: Blazing Overclash|2019-09-13|4526
D-CBT: Dragon Fighters|2017-02-24|4506
X-CBT01: Strongest Batzz Awakened - Red Thunder Emperor|2018-02-03|4611
X-CBT02: Worst Batzz Awakened - Black Autodeity|2018-02-03|4612
X-CBT: Driven to Disorder|2018-07-23|4515
S-CBT01: Golden Garga|2019-03-01|4523
S-CBT02: Violence Vanity|2018-03-01|4524
S-CBT03: Ultimate Unite|2020-02-28|4529
EB01: Immortal Entities|2014-06-06|4532
EB02: Great Clash Dragon Vs Danger|2014-09-12|4533
H-EB01: Miracle Impack!|2015-06-12|4534
H-EB02: Shadow Vs Hero|2015-08-14|4535
H-EB03: Lord of Hundred Thunders|2015-09-25|4536
H-EB04: Buddy Allstars+|2015-12-18|4537
D-EB01: Buddyfight Collection|2016-05-13|4538
D-EB02: Super Hero's Great War-Z|2016-06-03|4539
D-EB03: Heaven & Hell|2016-09-02|4657
X-UB01: Buddy Quest - Adventurer VS Demon Lord|2017-06-03|4651
X-UB02: Hero's Great War NEW GENERATIONS|2017-06-03|4652
X-UB03: Complete Chaos|2018-03-03|4653
S-UB01: Superhero Wars Ω -Advent of Cosmoman!-|2018-09-14|4540
S-UB02: Miracle Fighters ～Miko & Mel～|2018-09-14|4541
S-UB03: Buddy Chronicle|2018-11-10|4649
S-UB04: Buddy Again Vol.1 Welcome Back Heisei Fighters|2019-08-03|4650
S-UB05: Buddy Again Vol.2 Super Buddy Wars EX|2020-05-29|4542
S-UB06: Buddy Again Vol.3 Beyond the Ages|2020-09-25|4530
TD01: Dominant Dragons|2014-01-24|4543
TD02: Savage Steel|2014-01-24|4544
TD03: Dragonic Force|2014-03-28|4545
TD04: Braves Explosion|2014-07-04|4546
TD05: Ninja Onslaught|2014-07-04|4547
TD06: Dark Pulse|2014-10-10|4548
TD07: Tomorrow! Asmodai|2015-01-23|4549
H-SD01: Crimson Fist|2015-04-24|4550
H-SD02: Radiant Force|2015-04-24|4551
H-TD01: Dragonic Star|2015-07-10|4552
H-TD02: Malicious Demons|2015-07-10|4553
D-SD01: Scorching Sun Dragon|2016-03-04|4554
D-SD02: Cross Dragoner|2016-03-04|4555
D-SD03: Hollow Black Dragon|2016-03-04|4556
D-TD01: Dragon Emperor of the Colossal Ocean|2016-07-15|4557
X-SD01: Demon Lord Dragon of Tempest|2017-04-21|4558
X-SD02: Dragon Fielder|2017-04-21|4559
X-TD01: Decimating Black Dragon|2017-07-14|4560
X-TD02: Ruler of Havoc|2017-07-14|4561
X-TD03: Thunderous Warlords Alliance|2017-10-20|4562
S-SD01: Dradeity|2018-07-23|4563
S-SD02: Triangulum Galaxy|2018-07-27|4564
S-SD03: Spiral Linkdragon Order|2018-07-27|4565
S-TD01: Draknight|2019-04-26|4566
S-TD02: Legend of Double Horus|2019-08-23|4567
SS01: Super Strong!! Buddy Rare Double Deck|2014-11-21|4568
H-SS01: Super Strong!! Buddy Rare Triple Deck|2015-11-20|4569
D-SS01: Neo Dragonic Force & Wings of Demise|2016-05-13|4570
"D-SS02: Dual Start Deck ""Star Form Guidepost & Cosmo Elimination"""|2016-08-05|4571
D-SS03: Golden Buddy Champion Box|2016-12-03|4572
X-SS01: Super Dragon Fifth Omni Formation VS Hundred Thunder Demons|2017-05-13|4573
X-SS02: Radiant Evolution VS Purgatory Knights Conviction|2017-05-13|4574
X-SS03: 5 World Build Masters|2017-08-05|4575
X-SS04: X Duel Chest|2017-12-08|4576
X2-SS01: Bullets of the Sun VS World Of Demise|2018-05-12|4577
S-SS01: Lost Dimension|2018-10-05|4578
S-SS02: 3 Garga Decks! Impact! Triple Punisher|2018-12-07|4579
S-SS03: The End Zero|2020-01-24|4580
S-SS01A: Buddy Ragnarok|2020-09-25|4581
S-TD-C01: Detective Conan - White|2019-06-07|4582
S-TD-C02: Detective Conan - Black|2019-06-07|4583
S-UB-C01: Detective Conan|2019-07-05|4584
S-UB-C02: BanG Dream! Girls Band Party!☆PICO|2019-09-27|4585
S-UB-C03: THE IDOLM@STER CINDERELLA GIRLS Theater|2019-11-01|4586
S-UB-C04: GeGeGe no Kitaro|2019-10-19|4587
S-UB-C05: SSSS.Gridman|2020-03-27|4588
S-UB-C06: Sword Art Online|2019-12-21|4589
S-UB-C07: Medabots|2020-02-15|4590
PP01: Golden Buddy Pack|2015-03-06|4647
HPP01: Terror of the Inverse Omni Lords|2016-02-26|4648
English PR Series||4591
English S-PR Series||4592
Japanese PR Series||4593
Japanese S-PR Series||4594
