set|date|setID
Booster Pack Chapter 1: Those Who Do Not Fear Even Gods|2015-05-28|5017
Booster Pack Chapter 2: Twilight Howling|2015-08-27|5018
Booster Pack Chapter 3: Netherworld|2015-11-26|5019
Booster Pack Chapter 4: Paradise Lost|2016-02-25|5020
Booster Pack Chapter 5: Greenwind Saga|2016-05-12|5021
Booster Pack Chapter 6: Code Vanargand|2016-07-28|5022
Booster Pack Chapter 7: Game of Desire|2016-11-10|5023
Booster Pack Chapter 8: Judgement Day|2017-02-09|5024
Starter Deck: Blade of Blaze|2015-05-28|5025
Starter Deck: Shield of Azure|2015-05-28|5026
Starter Deck: King of Purgatory|2015-11-26|5027
Starter Deck: Thunderclap Emperor|2015-11-26|5028
Starter Deck: Spear of Carved Seal|2016-05-12|5029
Dreadnought Promos - Block 1||5030
Dreadnought Promos - Block 2||5031
Dreadnought Promos - Block 3||5032
Dreadnought Promos - Block 4||5033
