set|date|setID
Avengers vs. X-Men|2014-03-14|2119
Uncanny X-Men|2014-10-29|2120
Age of Ultron|2015-07-15|2121
The Amazing Spider-Man|2015-11-18|2122
Civil War|2016-05-11|2123
Doctor Strange Team Pack|2016-09-14|2124
Deadpool|2016-11-16|2125
Iron Man and War Machine Starter Set|2017-02-15|2126
The Defenders Team Pack|2017-05-10|2127
Spider-Man Maximum Carnage Team Pack|2017-08-23|2128
Guardians of the Galaxy|2017-09-06|2129
X-Men First Class|2017-10-18|2130
The Mighty Thor|2018-01-03|2131
Avengers Infinity Campaign Box|2018-08-01|2132
Kree Invasion Team Pack|2018-08-01|2133
Justice, Like Lightning... Team Pack|2018-08-01|2134
X-Men Forever Campaign Box|2019-05-22|2135
Uncanny X-Force Team Pack|2019-05-22|2136
Dark X-Men Team Pack|2019-05-22|2137
Avengers Infinity Gauntlet|2020-07-01|2174
Yu-Gi-Oh! Dice Masters|2015-01-02|2140
Battle for Faerûn|2015-03-11|2141
Faerûn Under Siege|2016-02-10|2142
Tomb of Annihilation|2017-11-22|2143
Adventures in Waterdeep Team Pack|2020-01-02|2144
Trouble in Waterdeep Campaign Box|2020-01-02|2145
The Zhentarim Team Pack|2020-01-02|2146
Justice League|2015-04-29|2147
War of Light|2015-09-16|2148
World's Finest|2016-03-16|2149
Green Arrow and The Flash|2016-09-07|2150
Batman|2017-05-24|2151
Superman and Wonder Woman Starter Set|2017-07-12|2152
Harley Quinn Team Pack|2018-08-01|2153
Doom Patrol Team Pack|2019-02-27|2154
Justice Campaign Box|2019-02-27|2155
Mystics Team Pack|2019-02-27|2156
Teenage Mutant Ninja Turtles|2016-05-25|2157
Heroes in a Half Shell|2017-02-08|2158
Battle for Ultramar Campaign Box|2018-11-28|2159
Orks - WAAAGH! Team Pack|2018-11-28|2160
Space Wolves - Sons of Russ Team Pack|2018-11-28|2161
Tag Teams Team Pack|2020-01-02|2162
Bitter Rivals Team Pack|2020-02-01|2163
WWE Campaign Box|2020-02-01|2164
Dicemasters: 2014 Marvel OP - Season 1||2402
Dicemasters: 2014 Marvel OP - Season 2||2420
Dicemasters: 2015 Marvel OP||2403
Dicemasters: 2016 Marvel OP||2404
Dicemasters: 2017 Marvel OP||2405
Dicemasters: 2019 Marvel OP - Season 1||2407
Dicemasters: 2019 Marvel OP - Season 2||2408
Dicemasters: Marvel Full Art / Alt Art Promos||2305
Dicemasters: Marvel Foil Promos||2304
Dicemasters: Marvel Sketch / Blank Promos||2423
Dicemasters: 2015 DC OP Promos - Season 1||2409
Dicemasters: 2015 DC OP Promos - Season 2||2422
Dicemasters: 2016 DC OP Promos||2410
Dicemasters: 2017 DC OP Promos||2411
Dicemasters: DC Full Art / Alt Art Promos||2416
Dicemasters: DC Foil Promos||2415
Dicemasters: DC Sketch / Blank Promos||2424
Dicemasters: 2016 D&D OP Promos - Season 1||2306
Dicemasters: 2016 D&D OP Promos - Season 2||2421
Dicemasters: 2016 D&D OP Promos - Season 3||2425
Dicemasters: D&D Full Art / Alt Art Promos||2417
Dicemasters: D&D Foil Promos||2418
Dicemasters: D&D Sketch / Blank Promos||2419
Dicemasters: TMNT Foil Promos||2426
Dicemasters Promos: Other||2307
