set|date|setID
The Path to Hokage||882
Coils of the Snake||883
Curse of the Sand||884
Revenge and Rebirth||885
Dream Legacy||886
Eternal Rivalry||1275
Quest for Power||1276
Battle of Destiny||1277
The Chosen||1278
Lineage of the Legends||1279
Approaching Wind||1280
A New Chronicle||1281
Fateful Reunion||1282
Emerging Alliance||1283
Foretold Prophecy||1284
Broken Promises||1285
Will of Fire||1286
Fangs of the Snake||1288
Path of Pain||1289
Tales of the Gallant Sage||1291
Shattered Truths||1292
Weapons of War||1658
Invasion||1659
Sage's Legacy||1660
Kage's Summit||1661
Avenger's Wrath||1662
Hero's Ascension||1663
Ultimate Ninja Storm 3||1664
Shinobi's Dream||1831
Tournament Pack 1||1287
Tournament Pack 2||1290
Tournament Pack 3||1293
Tournament Pack 4||1657
Fierce Ambitions||1832
Untouchables||1833
Ultimate Battle||1834
Rebirth||1835
Naruto CCG: Promos||881
