set|date|setID
Wave 1: Character Cards|2018-09-28|4313
Wave 1: Battle Cards|2018-09-28|4314
Wave 1: Autobot Starter|2018-09-28|4315
Wave 1: Metroplex Deck|2018-11-20|4316
Wave 1: Energon Edition||4317
Wave 2: Character Cards|2019-03-01|4318
Wave 2: Battle Cards|2019-03-01|4319
Wave 2: Devastator Deck|2019-03-29|4320
Wave 2: Bumblebee vs Megatron|2019-05-03|4321
Wave 3: Character Cards||4322
Wave 3: Battle Cards||4323
Wave 3: Blaster Vs Soundwave||4324
Wave 4: Character Cards||4325
Wave 4: Battle Cards||4326
Wave 4: Booster Box Exclusives||4327
Wave 5: Character Cards||4328
Wave 5: Battle Cards||4329
Wave 5: Stratagem Cards||4330
Wave 5: Booster Box Exclusives||4331
2018 Covention Pack||4332
2019 Convention Pack||4333
Lootcrate||4334
Chinese New Year||4335
In-Store Play - Wave 3||4336
In-Store Play - Wave 4||4337
In-Store Play - Wave 5||4338
Other Promos||4339
