set|date|setID
Base Set||1142
Battle for Meridell||1143
Return of Dr. Sloth||1144
Mystery Island||1145
Hannah and the Ice Caves||1146
Curse of Maraqua||1147
Lost Desert||1148
Darkest Faerie||1149
Travels in Neopia||1150
The Haunted Woods||1151
