set|date|setID
1st Season Vol. 1: The Magic Battle Begins|2017-10-20|5037
1st Season Vol. 2: πth Dimension Battle Royale|2018-02-09|5038
1st Season Vol. 3: The New World Order Admissions||5042
1st Season Vol.4: The Earnest Workers VS The Supreme Talents||5043
2nd Season Vol.1:  Caster Wars||5048
2nd Season Vol.2: Polar Night Booster Pack||5050
1st Season Wave 1: Wings of Anger|2017-10-20|5040
1st Season Wave 1: Arrogant Swallowtail|2017-10-20|5039
1st Season Wave 2: Magical Dream 7||5044
2nd Season Vol.1: Demon's Rondo||5047
2nd Season Vol.1: Angel's Waltz||5051
2nd Season Vol.2: Polar Night Starter deck||5049
Caster Chronicles:  Japanese Promos||5045
Caster Chronicles:  English Promos||5041
Trial Half Deck||5046
