set|date|setID
Sword & Shield|2020-02-01|1785
Rebel Clash|2020-05-01|1786
Sword & Shield Promos|2019-11-15|1787
Darkness Ablaze|2020-08-01|2303
Champion's Path|2020-09-25|3066
Vivid Voltage|2020-11-13|3067
Shining Fates|2021-02-19|3074
Shiny Vault|2021-02-19|3075
Battle Styles|2021-03-19|4371
Chilling Reign|2021-06-18|4603
Evolving Skies|2021-08-27|4622
Celebrations|2021-10-08|4767
Celebrations: Classic Collection|2021-10-08|4768
Fusion Strike|2021-11-12|4885
Brilliant Stars|2022-02-25|5109
Brilliant Stars Trainer Gallery|2022-02-25|5110
Astral Radiance|2022-05-27|5230
Astral Radiance Trainer Gallery|2022-05-27|5231
Pokémon GO|2022-07-01|5236
Lost Origin|2022-09-09|5276
Lost Origin Trainer Gallery|2022-09-09|5277
Silver Tempest|2022-11-11|5282
Silver Tempest Trainer Gallery|2022-11-11|5283
Crown Zenith|2023-01-20|5290
Crown Zenith Galarian Gallery|2023-01-20|5291
Sun & Moon|2017-02-03|1594
Guardians Rising|2017-05-05|1595
Burning Shadows|2017-08-04|1596
Crimson Invasion|2017-11-03|1597
Ultra Prism|2018-02-02|1598
Forbidden Light|2018-05-04|1599
Shining Legends|2017-10-06|1600
Celestial Storm|2018-08-03|1773
Dragon Majesty|2018-09-07|1774
Lost Thunder|2018-11-02|1777
Team Up|2019-01-31|1778
Unbroken Bonds|2019-05-03|1780
Unified Minds|2019-08-02|1781
Hidden Fates|2019-08-23|1782
Cosmic Eclipse|2019-11-01|1783
Shiny Vault|2019-08-23|3065
SM Trainer Kit - Alolan Raichu|2017-04-21|1937
SM Trainer Kit - Lycanroc|2017-04-21|1938
SM Black Star Promos|2016-11-01|1618
Detective Pikachu|2019-03-29|1779
SM Yellow A Alternate|2017-05-01|1837
XY|2014-02-05|1581
Flashfire|2014-05-07|1582
Furious Fists|2014-08-13|1583
Phantom Forces|2014-11-05|1584
Primal Clash|2015-02-04|1585
Roaring Skies|2015-05-06|1586
Ancient Origins|2015-08-12|1587
BREAKthrough|2015-11-04|1588
BREAKpoint|2016-02-03|1589
Fates Collide|2016-05-02|1590
Steam Siege|2016-08-03|1591
Evolutions|2016-11-02|1592
Generations|2016-02-22|1593
Kalos Starter Set|2013-11-08|1767
Double Crisis|2015-03-25|1768
XY Trainer Kit 4 - Pikachu Libre|2016-04-27|1939
XY Trainer Kit 4 - Suicune|2016-04-27|1940
XY Trainer Kit 3 - Latias|2015-04-29|1941
XY Trainer Kit 3 - Latios|2015-04-29|1942
XY Trainer Kit 2 - Bisharp|2014-11-01|1943
XY Trainer Kit 2 - Wigglytuff|2014-11-01|1944
XY Trainer Kit 1 -  Noivern|2014-03-12|1945
XY Trainer Kit 1 - Sylveon|2014-03-12|1946
X-Y Promos|2013-10-12|1772
X-Y Yellow A Alternate|2017-05-01|1838
Black and White|2011-04-25|1570
Emerging Powers|2011-08-31|1571
Noble Victories|2011-11-16|1572
Next Destinies|2012-02-08|1573
Dark Explorers|2012-05-09|1574
Dragons Exalted|2012-08-15|1575
Boundaries Crossed|2012-11-07|1576
Plasma Storm|2013-02-06|1577
Plasma Freeze|2013-05-08|1578
Plasma Blast|2013-08-14|1579
Legendary Treasures|2013-11-06|1580
Dragon Vault|2012-10-05|1762
Radiant Collection|2013-11-06|1836
BW Trainer Kit - Excadrill|2011-09-01|1935
BW Trainer Kit - Zoroark|2011-09-01|1936
Black & White Promos|2011-04-26|1763
Call of Legends|2011-02-09|1569
HeartGold SoulSilver|2010-02-10|1565
Unleashed|2010-05-12|1566
Undaunted|2010-08-18|1567
Triumphant|2010-11-03|1568
HeartGold SoulSilver Promos|2010-02-11|1761
HG Trainer Kit - Gyarados|2010-05-01|1933
HG Trainer Kit - Raichu|2010-05-01|1934
Platinum|2009-02-11|1561
Rising Rivals|2009-05-16|1562
Supreme Victors|2009-08-19|1563
Arceus|2009-11-04|1564
Pokemon Rumble|2009-12-02|1760
Diamond & Pearl|2007-05-01|1000
Mysterious Treasures|2007-08-01|1001
Secret Wonders|2007-11-01|1002
Great Encounters|2008-02-01|1120
Majestic Dawn|2008-05-01|1121
Legends Awakened|2008-08-01|1122
Stormfront|2008-11-01|1123
DP Black Star Promos|2007-05-01|1124
DP Trainer Kit 1 - Lucario|2007-09-01|1127
DP Trainer Kit 1 - Manaphy|2007-09-01|1932
Ruby and Sapphire|2003-07-01|984
Sandstorm|2003-09-17|985
Dragon|2003-11-24|986
Team Magma vs Team Aqua|2004-03-01|987
Hidden Legends|2004-06-01|988
FireRed & LeafGreen|2004-08-30|989
Team Rocket Returns|2004-11-01|990
Deoxys|2005-02-01|991
Emerald|2005-05-09|992
Unseen Forces|2005-08-22|993
Delta Species|2005-10-31|994
Legend Maker|2006-02-13|995
Holon Phantoms|2006-05-03|996
Crystal Guardians|2006-08-30|997
Dragon Frontiers|2006-11-08|998
Power Keepers|2007-02-14|999
EX Trainer Kit 1 - Latias|2004-04-29|1125
EX Trainer Kit 2 - Minun|2006-03-01|1126
Unseen Forces Unown Collection|2005-08-22|1758
EX Trainer Kit 2 - Plusle|2006-03-01|1930
EX Trainer Kit 1 - Latios|2004-04-29|1931
EX Trainer Kit Latias|2004-06-01|5077
