set|date|setID
Pergamum Prophecy|2001-12-01|589
Angel's Curse||590
Class of '99||591
Slayer on Campus||592
Hero of the Week||4439
Villain of the Week||4440
Mini-Poster Events||4441
Initiative||4449
Slayer on Campus [Virtual]||4450
Season Four||4451
Season Five||4452
Season Six||4453
