set|date|setID
Eye of the Storm|1997-08-01|602
Judge of the Change - Chapter 1|1998-02-01|603
Judge of the Change - Chapter 2|1998-04-01|1646
Judge of the Change - Chapter 3|1998-06-01|1647
Thunder at Twilight - Chapter 1|1998-08-01|604
Thunder at Twilight - Chapter 2|1998-09-01|1648
Thunder at Twilight - Chapter 3|1998-10-01|1649
Thunder at Twilight - Alternate Art Cards|1998-08-01|1650
Pre-Gencon Preview Set||1271
Gencon Preview Set||1272
Sealed Dune CCG Starters||1651
Sealed Dune CCG Booster Packs||1652
