set|date|setID
Battle Evolution Booster [EB1]|2021-03-05|4358
Supreme Rivalry [BT13]|2021-05-01|4356
Vicious Rejuvenation [BT12]|2021-01-15|4357
Vermillion Bloodline [BT11]|2020-10-09|2309
Rise of the Unison Warrior [BT10]|2020-07-17|2310
Universal Onslaught [BT9]|2020-02-14|2311
Malicious Machinations [BT8]|2019-11-22|2312
Assault of the Saiyans [BT7]|2019-08-02|2313
Destroyer Kings [BT6]|2019-03-15|2314
Miraculous Revival [BT5]|2018-11-09|2315
Colossal Warfare [BT4]|2018-07-13|2316
Cross Worlds [BT3]|2018-03-09|2317
Union Force [BT2]|2017-11-03|2318
Galactic Battle [BT1]|2017-07-28|2319
Clash of Fates [TB3]|2019-01-18|2320
World Martial Arts Tournament [TB2]|2018-09-21|2321
The Tournament of Power [TB1]|2018-05-25|2322
Giant Force [DB3]|2020-11-13|4359
Divine Multiverse [DB2]|2020-03-27|2323
Divine Brawl [DB1]|2019-09-20|2324
Saiyan Wonder [DBS-SD14]|2020-06-05|2325
Clan Collusion [DBS-SD13]|2020-06-05|2326
Spirit of Potara [DBS-SD12]|2020-06-05|2327
Instinct Surpassed [DBS-SD11]|2020-02-14|2328
Parasitic Overlord [DBS-SD10]|2019-11-29|2329
Saiyan Legacy [DBS-SD09]|2019-08-09|2330
Rising Broly [DBS-SD08]|2019-04-06|2331
Shenron's Advent [DBS-SD07]|2018-11-30|2332
Resurrected Fusion [DBS-SD06]|2018-11-30|2333
The Crimson Saiyan [DBS-SD05]|2018-09-28|2334
The Guardian of Namekians [DBS-SD04]|2018-09-28|2335
The Dark Invasion [DBS-SD03]|2018-06-08|2336
The Extreme Evolution [DBS-SD02]|2018-06-08|2337
The Awakening [DBS-SD01]|2018-01-05|2338
The Ultimate Life Form [DBS-XD03]|2020-02-14|2339
Android Duality [DBS-XD02]|2019-11-29|2340
Universe 6 Assailants [DBS-XD01]|2019-08-09|2341
Battle Enhanced [EX15]|2020-11-20|4360
Battle Advanced [EX14]|2020-11-20|4361
Universe 11 [EX12]|2020-05-29|2342
Universe 7 Unison [EX11]|2020-05-29|2343
Namekian Surge [EX10]|2020-01-17|2344
Saiyan Surge [EX09]|2020-01-17|2345
Forsaken Warrior [EX08]|2019-11-01|2346
Fusion Hero [EX07]|2019-11-01|2347
Unity of Destruction [EX05]|2019-06-07|2350
Unity of Saiyans [EX04]|2019-06-07|2351
Ultimate Box [EX03]|2018-11-01|2352
Dark Demon's Villains [EX02]|2018-03-01|2353
Mighty Heroes [EX01]|2018-03-01|2354
Ultimate Deck [EX16]|2021-01-22|4362
Special Anniversary 2020 [EX13]|2020-08-07|2348
Special Anniversary Box [EX06]|2019-07-12|2349
DBS Promo Cards [P]|2018-01-10|2355
