Parasitic Bond|68170|Uncommon|https://api.ccgtrader.co.uk/uploads/_/originals/52ec242d-b463-4618-b1af-a1bd03e6d028.jpg|157|magic the gathering ccg|Urza's Saga|1998-10-12|botthewoz|0
Team Flare Grunt|83204|Uncommon|https://api.ccgtrader.co.uk/uploads/_/originals/758632d2-b464-47a0-acfb-15f02f675ed5.jpg|1581|pokemon tcg|XY|2014-02-05|botthewoz|0
Sneasel|83272|Common|https://api.ccgtrader.co.uk/uploads/_/originals/c2fd2ca6-99ef-4e6c-a728-1c5aca14a2a5.jpg|1582|pokemon tcg|Flashfire|2014-05-07|botthewoz|0
Magby|89669|Common|https://api.ccgtrader.co.uk/uploads/_/originals/f7fd3526-a55d-4459-9308-5539d96af7de.jpg|995|pokemon tcg|Legend Maker|2006-02-13|botthewoz|0
Skwovet|92549|Common|https://api.ccgtrader.co.uk/uploads/_/originals/1c74ba58-65b8-43ac-b62d-ca3604dbfc73.png|5307|pokemon tcg|Scarlet & Violet|2023-03-31|botthewoz|2
Lost Soul (Deuteronomy 30:15) (Prosperity)|94689|Common|https://api.ccgtrader.co.uk/uploads/_/originals/d7d6f6e6-a510-49ae-be5d-90d4c924d0fb.jpg|5124|redemption ccg|The Fall of Man||botthewoz|0
The Empty Tomb|97259|Common|https://api.ccgtrader.co.uk/uploads/_/originals/5e80c4e4-2def-4000-a632-b4f1298efec9.jpg|707|redemption ccg|Apostles||botthewoz|0
Major Prowl|100712|Common|https://api.ccgtrader.co.uk/uploads/_/originals/40fe028c-c80c-440a-a1b2-dc17d5bb68bb.jpg|4322|transformers tcg|Wave 3: Character Cards||botthewoz|0
Rolling Suplex|109766|Uncommon|https://api.ccgtrader.co.uk/uploads/_/originals/b7d18dd2-988f-4647-9f83-5c3ceaf3f4ad.jpg|1008|wwe raw deal|Insurrextion||botthewoz|0
Do YOU Live By the Three I's?|110048|Common|https://api.ccgtrader.co.uk/uploads/_/originals/4d42b8c7-3db2-4b4f-8bfb-629c9bacd7bb.jpg|1010|wwe raw deal|Summer Slam||botthewoz|0
EN - Engage Neo Space|113155|Super Rare|https://images.ygoprodeck.com/images/cards/80170678.jpg|5270|yu gi oh tcg|Power of the Elements|2022-08-04|botthewoz|4
Trickstar Reincarnation|117691|Rare|https://images.ygoprodeck.com/images/cards/21076084.jpg|3506|yu gi oh tcg|Maximum Gold|2020-11-12|botthewoz|0
Time Thief Redoer|120320|Super Rare|https://images.ygoprodeck.com/images/cards/55285840.jpg|3548|yu gi oh tcg|OTS Tournament Pack 12|2019-12-05|botthewoz|3
Power Giant|132708|Common|https://images.ygoprodeck.com/images/cards/7025445.jpg|3266|yu gi oh tcg|Battle Pack: Epic Dawn|2012-05-24|botthewoz|0
Ultimate Tyranno|134232|Rare|https://images.ygoprodeck.com/images/cards/15894048.jpg|3326|yu gi oh tcg|Duelist League 13 participation cards|2011-12-01|botthewoz|0
Infernity Launcher|136835|Super Rare|https://images.ygoprodeck.com/images/cards/66957584.jpg|3708|yu gi oh tcg|The Shining Darkness|2010-05-07|botthewoz|0
Earthbound Immortal Chacu Challhua|137305|Secret Rare|https://images.ygoprodeck.com/images/cards/69931927.jpg|3294|yu gi oh tcg|Collectible Tins 2009 Wave 1|2009-08-18|botthewoz|0
Twin-Barrel Dragon|138900|Super Rare|https://images.ygoprodeck.com/images/cards/70050374.jpg|3689|yu gi oh tcg|The Duelist Genesis|2008-09-02|botthewoz|0
Storming Mirror Force|148613|Common|https://images.ygoprodeck.com/images/cards/5650082.jpg|5339|yu gi oh tcg|2-Player Starter Set|2024-01-26|botthewoz|0
Gagaga Magician|148770|Common|https://images.ygoprodeck.com/images/cards/26082117.jpg|5341|yu gi oh tcg|2-Player Starter Set|2024-01-26|botthewoz|0
