name|id|rarity|imgURL|setID|game|set|date|owner|fav
Flame Bufferlo|811489|33|https://images.ygoprodeck.com/images/cards/80794697.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Lady Debug|816447|33|https://images.ygoprodeck.com/images/cards/16188701.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Antialian|802747|10|https://images.ygoprodeck.com/images/cards/43583400.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Storm Cipher|826554|10|https://images.ygoprodeck.com/images/cards/89571015.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Segmental Dragon|824617|40|https://images.ygoprodeck.com/images/cards/15066114.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Cyberse Gadget|807219|10|https://images.ygoprodeck.com/images/cards/645087.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Juragedo|815824|10|https://images.ygoprodeck.com/images/cards/59546797.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Mecha Phantom Beast Tetherwolf|818408|10|https://images.ygoprodeck.com/images/cards/67922702.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Reborn Tengu|823022|10|https://images.ygoprodeck.com/images/cards/10028593.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Skull Meister|825361|10|https://images.ygoprodeck.com/images/cards/67750322.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Goblindbergh|813323|10|https://images.ygoprodeck.com/images/cards/25259669.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Phantom Skyblaster|821726|10|https://images.ygoprodeck.com/images/cards/12958919.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Genex Ally Birdman|812696|10|https://images.ygoprodeck.com/images/cards/64034255.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Effect Veiler|809952|10|https://images.ygoprodeck.com/images/cards/97268402.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Magical Merchant|817623|10|https://images.ygoprodeck.com/images/cards/32362575.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Cosmic Compass|806448|10|https://images.ygoprodeck.com/images/cards/27450400.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Launcher Commander|816518|10|https://images.ygoprodeck.com/images/cards/35911108.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Cynet Storm|807272|10|https://images.ygoprodeck.com/images/cards/42461852.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Night Beam|820136|10|https://images.ygoprodeck.com/images/cards/89882100.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Offerings to the Doomed|820879|10|https://images.ygoprodeck.com/images/cards/19230408.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Forbidden Chalice|811759|10|https://images.ygoprodeck.com/images/cards/25789292.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Scapegoat|824407|10|https://images.ygoprodeck.com/images/cards/73915051.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
Swords of Revealing Light|827193|10|https://images.ygoprodeck.com/images/cards/72302403.jpg|3628|yu gi oh tcg|Structure Deck: Powercode Link|2018-08-09||0
