name|id|rarity|imgURL|setID|game|set|date|owner|fav|rawID
Frieza/Bionic Strike Mecha Frieza (Errata)|16421|Common|https://api.ccgtrader.co.uk/_/assets/cozzuqvp47sccwso|2355|dragon ball super card game|DBS Promo Cards [P]|2018-01-10|botthewoz|0|690008.0
Tyrennius Scatheblade|103281|Common|https://api.ccgtrader.co.uk/_/assets/9n8g2y9hdqo8csg8|1296|world of warcraft tcg|Assault on Icecrown Citadel|2011-03-01|botthewoz|0|684756.0
Urborg Stalker|40302|Rare|https://cards.scryfall.io/large/front/2/d/2d33e3d5-c608-4ba8-8614-0b9d0385af64.jpg?1562800026|150|magic the gathering ccg|Weatherlight|1997-06-09|botthewoz|0|736533.0
Shinka Gatekeeper|45462|Common|https://cards.scryfall.io/large/front/8/f/8fdaf49b-9524-4824-807e-c40fcb381742.jpg?1562878384|182|magic the gathering ccg|Betrayers of Kamigawa|2005-02-04|botthewoz|0|758479.0
Dr. Tofu|1760|Rare|https://api.ccgtrader.co.uk/_/assets/4qxhtogsq5k4ogok|614|ani mayhem ccg|Set 0|1996-07-01|botthewoz|0|147095.0
Pashalik Mons // Pashalik Mons|57538|Common|https://cards.scryfall.io/large/front/f/8/f8fbe2a3-0425-43f9-871a-9e3748854210.jpg?1572371363|2854|magic the gathering ccg|Modern Horizons Art Series|2019-06-05|botthewoz|0|782220.0
Jamilah|10248|Common|https://api.ccgtrader.co.uk/_/assets/4q2nr3rn3nokc888|2145|dice masters|Trouble in Waterdeep Campaign Box|2020-01-02|botthewoz|0|693958.0
General Wayne of the Ice Barrier|109127|Ultra Rare|https://images.ygoprodeck.com/images/cards/81825063.jpg|5366|yu gi oh tcg|Battles of Legend: Terminal Revenge|2024-06-20|botthewoz|0|1008032.0
Destiny HERO - Dreamer|123856|Common|https://images.ygoprodeck.com/images/cards/66262416.jpg|3497|yu gi oh tcg|Legendary Hero Decks|2018-10-04|botthewoz|0|808679.0
Neeka|98345|Common|https://api.ccgtrader.co.uk/_/assets/etdl5a2x5w8cogoo|960|world of warcraft tcg|Fires of Outland|2007-08-01|botthewoz|0|679833.0
Lie Detector|96433|Common|https://api.ccgtrader.co.uk/_/assets/o2a2w9oqzfkk84ck|86|the x files ccg|The X-Files CCG: The Truth is Out There||botthewoz|0|19094.0
Sea Gate Banneret // Sea Gate Banneret|59731|Common|https://cards.scryfall.io/large/front/d/7/d7a03ae7-a8b5-43a5-8721-a9cc985ff961.jpg?1678735889|2856|magic the gathering ccg|Zendikar Rising Art Series|2020-09-25|botthewoz|0|774856.0
