name|id|rarity|imgURL|setID|game|set|date
Amidaru - Legendary Samurai|716646|40|https://api.ccgtrader.co.uk/uploads/_/originals/c6ccf721-a780-45b3-a2fb-857faed44a11.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
1080 Flash|716647|10|https://api.ccgtrader.co.uk/uploads/_/originals/2c52edb0-9522-4082-82c9-1ad0294b43d0.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Eon Crush|716648|30|https://api.ccgtrader.co.uk/uploads/_/originals/8afe6899-3a34-43e0-8309-8cdf5b384e3a.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Devoted Sentry|716649|20|https://api.ccgtrader.co.uk/uploads/_/originals/ff2e3c9c-8a32-4871-a544-b74a7d790936.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Decipher the Ruins|716650|10|https://api.ccgtrader.co.uk/uploads/_/originals/651907ed-b24a-467b-ac05-16549465ae88.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Conviction|716651|20|https://api.ccgtrader.co.uk/uploads/_/originals/9d6f5545-22e1-4b28-92cc-d0e5b1afce6f.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Spreading Darkness|716652|20|https://api.ccgtrader.co.uk/uploads/_/originals/5f1fd84f-c988-4899-afd7-af821286a8e1.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Reposition|716653|10|https://api.ccgtrader.co.uk/uploads/_/originals/d29758a2-0925-4b84-96fc-81620b585a77.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Ancient Discipline|716654|10|https://api.ccgtrader.co.uk/uploads/_/originals/b566e356-b720-48da-a394-5c48cd431394.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Spirit Aim|716655|10|https://api.ccgtrader.co.uk/uploads/_/originals/091a9bb2-8db0-437b-9c3d-91046fa23c0f.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Fateful Choice|716656|20|https://api.ccgtrader.co.uk/uploads/_/originals/469c6b46-2ffb-41c0-ae76-01a1fa21ed47.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Lee Pai-Long - Daodando Master|716657|40|https://api.ccgtrader.co.uk/uploads/_/originals/26d66545-777f-4c9a-bddd-b1e5c7b28db2.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Lililala - Keeper of Memories|716658|10||2714|shaman-king-tcg|Reincarnation|2005-02-01
Lyserg - Fresh Recruit|716659|10|https://api.ccgtrader.co.uk/uploads/_/originals/3ccdf7b4-7db2-4d17-872d-08f4823756c5.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Marco - Commander|716660|20|https://api.ccgtrader.co.uk/uploads/_/originals/7868b9af-9d13-4985-8125-d8eca8b1a03f.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Nergal's Roar|716661|40|https://api.ccgtrader.co.uk/uploads/_/originals/6d58bef8-6e41-4155-a357-7d9b2f76cbe9.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
No Quarter|716662|30|https://api.ccgtrader.co.uk/uploads/_/originals/9d537896-1f80-46f2-9068-8edee7758e5e.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Shikigami|716663|20|https://api.ccgtrader.co.uk/uploads/_/originals/e6a476d5-eabb-4b53-83f5-d2e2e5fea818.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Manifestation of Power|716664|30||2714|shaman-king-tcg|Reincarnation|2005-02-01
United Front|716665|20|https://api.ccgtrader.co.uk/uploads/_/originals/652e4f12-2c32-401e-9b27-a659c2a8ba7d.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Rio - Dead Ender|716666|20|https://api.ccgtrader.co.uk/uploads/_/originals/65b0e802-d0be-4388-82a6-3451ca83eeba.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Braingrab|716667|30|https://api.ccgtrader.co.uk/uploads/_/originals/3a642569-32ff-48fb-a8aa-92af36edd6d3.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Tao En - Dark Dictator|716668|10|https://api.ccgtrader.co.uk/uploads/_/originals/62120e8d-e269-49e0-b880-b99449009dbe.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Ward Off|716669|10|https://api.ccgtrader.co.uk/uploads/_/originals/ddd32f71-ab7d-45d4-9334-b11357af61ba.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Venster - Tactician|716670|20|https://api.ccgtrader.co.uk/uploads/_/originals/3f162483-4d07-42ae-993b-ad4d4f34b7e4.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Zeke - Utopian Architect|716671|20|https://api.ccgtrader.co.uk/uploads/_/originals/dd20c4a3-9553-41dc-af97-d453f65c94a8.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Hijinks|716672|40|https://api.ccgtrader.co.uk/uploads/_/originals/0c0b0eef-3408-4168-95fa-57d3551adabf.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
Hunter's Perch|716673|20|https://api.ccgtrader.co.uk/uploads/_/originals/4b0abc68-6a51-47f9-8af0-bf622ae19132.jpg|2714|shaman-king-tcg|Reincarnation|2005-02-01
