name|id|rarity|imgURL|setID|game|set|date
Boris Brightbeard|679021|20|https://api.ccgtrader.co.uk/_/assets/h7d5guyjuygwcc88|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Dizdemona|679022|20|https://api.ccgtrader.co.uk/_/assets/a0m5sabg97kkow4k|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Elendril|679023|20|https://api.ccgtrader.co.uk/_/assets/lvwvg5xn19w8wss0|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Graccus|679024|20|https://api.ccgtrader.co.uk/_/assets/mjwm62g2whwk0so8|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Litori Frostburn|679025|20|https://api.ccgtrader.co.uk/_/assets/mwnbhbbvta808gcs|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Moonshadow|679026|20|https://api.ccgtrader.co.uk/_/assets/afvop4piyjccskws|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Timmo Shadestep|679027|20|https://api.ccgtrader.co.uk/_/assets/9dplwmfi8gkc8g8c|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Warrax|679028|20|https://api.ccgtrader.co.uk/_/assets/ols48ph15yos8g8s|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Gorebelly|679029|20|https://api.ccgtrader.co.uk/_/assets/4v7ztgmlrjmskg0g|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Grennan Stormspeaker|679030|20|https://api.ccgtrader.co.uk/_/assets/ek1gljyifvkggkgo|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Kayleitha|679031|20|https://api.ccgtrader.co.uk/_/assets/6vidl9k53ls0wsw4|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Omedus the Punisher|679032|20|https://api.ccgtrader.co.uk/_/assets/6pt4qkhk7cg8osw8|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Radak Doombringer|679033|20|https://api.ccgtrader.co.uk/_/assets/p1obfi6wmeosso84|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Sen'zir Beastwalker|679034|20|https://api.ccgtrader.co.uk/_/assets/5qngazfovqsccsgs|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Ta'zo|679035|20|https://api.ccgtrader.co.uk/_/assets/hhc4ma4k3yg4cskg|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Thangal|679036|20|https://api.ccgtrader.co.uk/_/assets/om5e59xgnj4g8w0o|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Bash|679037|20|https://api.ccgtrader.co.uk/_/assets/2xeupitqyb6sgwo4|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Bear Form|679038|20|https://api.ccgtrader.co.uk/_/assets/3qetgyri9cqoo4s0|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Circle of Life|679039|30|https://api.ccgtrader.co.uk/_/assets/gd6h66aaenco004o|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Entangling Roots|679040|10|https://api.ccgtrader.co.uk/_/assets/nixqopl28f4g8wo0|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Feral Rage|679041|30|https://api.ccgtrader.co.uk/_/assets/ebli3gat5yosssgc|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Healing Touch|679042|20|https://api.ccgtrader.co.uk/_/assets/s0oimhfidog4s4c0|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Innervate|679043|30|https://api.ccgtrader.co.uk/_/assets/8zaxfnex9fk004ss|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Mark of the Wild|679044|10|https://api.ccgtrader.co.uk/_/assets/c6g1s16pu08owgs8|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Maul|679045|20|https://api.ccgtrader.co.uk/_/assets/62are3obzwwsskc8|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Natural Defenses|679046|30|https://api.ccgtrader.co.uk/_/assets/i6gmvpj0k5s8c08g|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Natural Selection|679047|10|https://api.ccgtrader.co.uk/_/assets/mkfgoimvp68o4ow4|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Nature's Swiftness|679048|30|https://api.ccgtrader.co.uk/_/assets/swmpcgj8jf4ckccg|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Predatory Strikes|679049|30|https://api.ccgtrader.co.uk/_/assets/i362x5568hs0cs84|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Primal Mending|679050|20|https://api.ccgtrader.co.uk/_/assets/roq14ll5674g4w8c|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
Starfire|679051|30|https://api.ccgtrader.co.uk/_/assets/lq54dkyqlz44kkk0|495|world-of-warcraft-tcg|Heroes of Azeroth|2006-10-01
