name|id|rarity|imgURL|setID|game|set|date
33-S Sexaroid|147030.0|30.0|https://api.ccgtrader.co.uk/_/assets/jwuvguga8eo8ckg8|614|ani-mayhem-ccg|Set 0|1996-07-01
5 Yen Coin|147031.0|10.0|https://api.ccgtrader.co.uk/_/assets/73lp18z6rf0ooosk|614|ani-mayhem-ccg|Set 0|1996-07-01
55-C Bodyguard Boomer|147032.0|10.0|https://api.ccgtrader.co.uk/_/assets/848r78mxmj0oo80o|614|ani-mayhem-ccg|Set 0|1996-07-01
7 Lucky Gods Martial Artists|147033.0|30.0|https://api.ccgtrader.co.uk/_/assets/e8d2z7nvqlck4osw|614|ani-mayhem-ccg|Set 0|1996-07-01
AD Police HQ|147034.0|20.0|https://api.ccgtrader.co.uk/_/assets/fh0kqzehe40sck0s|614|ani-mayhem-ccg|Set 0|1996-07-01
Afura Mann|147035.0|10.0|https://api.ccgtrader.co.uk/_/assets/6uypvewx1nwo0k0c|614|ani-mayhem-ccg|Set 0|1996-07-01
Akane Tendo|147036.0|20.0|https://api.ccgtrader.co.uk/_/assets/axqi1ishc54wwc8k|614|ani-mayhem-ccg|Set 0|1996-07-01
Akane's Cooking|147037.0|30.0|https://api.ccgtrader.co.uk/_/assets/sa48tvsyr6s0gk0g|614|ani-mayhem-ccg|Set 0|1996-07-01
Akane's Rage|147038.0|30.0|https://api.ccgtrader.co.uk/_/assets/lvs46osyuw0k0c80|614|ani-mayhem-ccg|Set 0|1996-07-01
Ambulance|147039.0|10.0|https://api.ccgtrader.co.uk/_/assets/dbl5o3z5z8gkgkkc|614|ani-mayhem-ccg|Set 0|1996-07-01
Angel of Mercy|147040.0|30.0|https://api.ccgtrader.co.uk/_/assets/qv8jmg1urb4w4000|614|ani-mayhem-ccg|Set 0|1996-07-01
Angry Schoolgirls|147041.0|30.0|https://api.ccgtrader.co.uk/_/assets/95rx6qxi6xc8sok4|614|ani-mayhem-ccg|Set 0|1996-07-01
Assassin Disguise|147042.0|20.0|https://api.ccgtrader.co.uk/_/assets/4sau0f7acjuockw8|614|ani-mayhem-ccg|Set 0|1996-07-01
Assault / Shining Knight|147043.0|10.0|https://api.ccgtrader.co.uk/_/assets/hudanlo69lc8owck|614|ani-mayhem-ccg|Set 0|1996-07-01
Assisted Flight|147044.0|10.0|https://api.ccgtrader.co.uk/_/assets/74r4nx32djgoco0s|614|ani-mayhem-ccg|Set 0|1996-07-01
Attack Pods|147045.0|10.0|https://api.ccgtrader.co.uk/_/assets/o9wgn79zv688gwss|614|ani-mayhem-ccg|Set 0|1996-07-01
Auntie Saotome|147046.0|30.0|https://api.ccgtrader.co.uk/_/assets/k38ywciospsk4w88|614|ani-mayhem-ccg|Set 0|1996-07-01
Awfully Cute / Kick|147148.0|10.0|https://api.ccgtrader.co.uk/_/assets/8i6rfvggt5s0oc8k|614|ani-mayhem-ccg|Set 0|1996-07-01
Baby|147047.0|10.0|https://api.ccgtrader.co.uk/_/assets/aboodqbo2b4skg88|614|ani-mayhem-ccg|Set 0|1996-07-01
Bad Reputation|147048.0|30.0|https://api.ccgtrader.co.uk/_/assets/quvleuxtjaoswg0o|614|ani-mayhem-ccg|Set 0|1996-07-01
Barbells|147049.0|10.0|https://api.ccgtrader.co.uk/_/assets/5j6fei9r1d448c44|614|ani-mayhem-ccg|Set 0|1996-07-01
Bash / Broken Heart|147050.0|20.0|https://api.ccgtrader.co.uk/_/assets/qna26wsicmscs4s4|614|ani-mayhem-ccg|Set 0|1996-07-01
Beautiful Queen / Face Slam|147099.0|10.0|https://api.ccgtrader.co.uk/_/assets/ke9rr7o3slc0wsog|614|ani-mayhem-ccg|Set 0|1996-07-01
Beautiful Redhead / Slap|147266.0|10.0|https://api.ccgtrader.co.uk/_/assets/q3xexvauwb48c44k|614|ani-mayhem-ccg|Set 0|1996-07-01
Big Bug|147051.0|30.0|https://api.ccgtrader.co.uk/_/assets/pwsqekir4lwscogo|614|ani-mayhem-ccg|Set 0|1996-07-01
Big Sucker Gas Slash|147052.0|20.0|https://api.ccgtrader.co.uk/_/assets/8yiiwna3qm80w4gc|614|ani-mayhem-ccg|Set 0|1996-07-01
Brian J. Mason|147053.0|20.0|https://api.ccgtrader.co.uk/_/assets/72xq7saezmkggo0s|614|ani-mayhem-ccg|Set 0|1996-07-01
Briefing|147054.0|10.0|https://api.ccgtrader.co.uk/_/assets/ht26qc7sh5kcw0ws|614|ani-mayhem-ccg|Set 0|1996-07-01
BU-12B Cyberdroid|147055.0|10.0|https://api.ccgtrader.co.uk/_/assets/1kuvmqzheum88wo8|614|ani-mayhem-ccg|Set 0|1996-07-01
Bugrom Big Raid Medal|147056.0|10.0|https://api.ccgtrader.co.uk/_/assets/rhfmtpg8r4gcg4o8|614|ani-mayhem-ccg|Set 0|1996-07-01
Bugrom Bridge Bashers|147057.0|10.0|https://api.ccgtrader.co.uk/_/assets/5x2bhi3hphk44g4o|614|ani-mayhem-ccg|Set 0|1996-07-01
Bugrom Homeland|147058.0|10.0|https://api.ccgtrader.co.uk/_/assets/8sugb4tr8rgg8o84|614|ani-mayhem-ccg|Set 0|1996-07-01
Bugrom Horde|147059.0|10.0|https://api.ccgtrader.co.uk/_/assets/677tgh1sfsw00k8o|614|ani-mayhem-ccg|Set 0|1996-07-01
Bugrom, Type 1|147024.0|30.0|https://api.ccgtrader.co.uk/_/assets/2zozb3lson8k8sg0|614|ani-mayhem-ccg|Set 0|1996-07-01
Captivate / Paralyse|147208.0|10.0|https://api.ccgtrader.co.uk/_/assets/2nmdvgijb8u8s0gg|614|ani-mayhem-ccg|Set 0|1996-07-01
Captured!|147060.0|10.0|https://api.ccgtrader.co.uk/_/assets/jzy19z4z5n4cg8wo|614|ani-mayhem-ccg|Set 0|1996-07-01
Cest LaVie|147061.0|10.0|https://api.ccgtrader.co.uk/_/assets/s8x4ea96a40osssw|614|ani-mayhem-ccg|Set 0|1996-07-01
Chang Tiger Clan Ring|147062.0|30.0|https://api.ccgtrader.co.uk/_/assets/ow9jrf21w7kcgs4s|614|ani-mayhem-ccg|Set 0|1996-07-01
Charge / Scandal|147063.0|10.0|https://api.ccgtrader.co.uk/_/assets/dy4ai9qggm8gs0cs|614|ani-mayhem-ccg|Set 0|1996-07-01
Chief Servant Londs|147064.0|10.0|https://api.ccgtrader.co.uk/_/assets/1sdjkznjwy9wcsog|614|ani-mayhem-ccg|Set 0|1996-07-01
City of Floristica|147065.0|30.0|https://api.ccgtrader.co.uk/_/assets/mbnl75jwgqo4kkks|614|ani-mayhem-ccg|Set 0|1996-07-01
Class C Boomer|147066.0|10.0|https://api.ccgtrader.co.uk/_/assets/4hz3c1vmdh8gokog|614|ani-mayhem-ccg|Set 0|1996-07-01
Class C Female Boomer|147067.0|20.0|https://api.ccgtrader.co.uk/_/assets/lnmfjic9os0oss4g|614|ani-mayhem-ccg|Set 0|1996-07-01
Clean Livin'|147068.0|30.0|https://api.ccgtrader.co.uk/_/assets/rjukuq4qlwgk4owc|614|ani-mayhem-ccg|Set 0|1996-07-01
Cleaning Supplies|147069.0|10.0|https://api.ccgtrader.co.uk/_/assets/f5p9q6gzekg04k08|614|ani-mayhem-ccg|Set 0|1996-07-01
