name|id|rarity|imgURL|setID|game|set|date
Torchwood|919713|30|https://api.ccgtrader.co.uk/_/assets/cw45zd2mfugwwokw|4787|torchwood-tcg|Torchwood TCG|
Angry Fairy|919714|10|https://api.ccgtrader.co.uk/_/assets/mafmf1jwok0ckwo4|4787|torchwood-tcg|Torchwood TCG|
Henry Parker|919715|10|https://api.ccgtrader.co.uk/_/assets/iujorxlskhkwc4ws|4787|torchwood-tcg|Torchwood TCG|
The Amazing Pearl|919716|10|https://api.ccgtrader.co.uk/_/assets/dwtbc473rpk4k4kc|4787|torchwood-tcg|Torchwood TCG|
Doctor Tanizaki|919717|10|https://api.ccgtrader.co.uk/_/assets/qx1v4p1dq3kkc488|4787|torchwood-tcg|Torchwood TCG|
Beth Halloran (Weaponized)|919718|10|https://api.ccgtrader.co.uk/_/assets/n2lq4ahhjissc8o0|4787|torchwood-tcg|Torchwood TCG|
Captain John Hart|919719|10|https://api.ccgtrader.co.uk/_/assets/bhr1xnxyhqg4ws4g|4787|torchwood-tcg|Torchwood TCG|
Weevil|919720|10|https://api.ccgtrader.co.uk/_/assets/rnz1b7ay0fkog08c|4787|torchwood-tcg|Torchwood TCG|
Carys Fletcher|919721|30|https://api.ccgtrader.co.uk/_/assets/r1l4xlvlw68ggs00|4787|torchwood-tcg|Torchwood TCG|
Captain Jack|919722|30|https://api.ccgtrader.co.uk/_/assets/i2xe8edq8tcg8g0w|4787|torchwood-tcg|Torchwood TCG|
Alien Meat|919723|10|https://api.ccgtrader.co.uk/_/assets/klvzy00b9q80k40k|4787|torchwood-tcg|Torchwood TCG|
Torchwood SUV|919724|10|https://api.ccgtrader.co.uk/_/assets/jb8qzf947dkcgg8s|4787|torchwood-tcg|Torchwood TCG|
Resurrection Glove|919725|10|https://api.ccgtrader.co.uk/_/assets/j8ylxyhoswoc0gg8|4787|torchwood-tcg|Torchwood TCG|
Satelite tracker|919726|48|https://api.ccgtrader.co.uk/_/assets/blttxwpztv4s4cs8|4787|torchwood-tcg|Torchwood TCG|
