name|id|rarity|imgURL|setID|game|set|date
Liberation Army Village|273981|10|https://api.ccgtrader.co.uk/_/assets/75i9epi8du884s8o|872|gundam-ms-war-tcg|Series 1: Wing Team and Oz Corp|
Singapore Space Base|273982|10|https://api.ccgtrader.co.uk/_/assets/13egac97ice8wwos|872|gundam-ms-war-tcg|Series 1: Wing Team and Oz Corp|
Sanc Kingdom|273983|30|https://api.ccgtrader.co.uk/_/assets/78kdgu4aqhcss8ks|872|gundam-ms-war-tcg|Series 1: Wing Team and Oz Corp|
L2 Colony|273984|10|https://api.ccgtrader.co.uk/_/assets/lg3fx6oq340444k4|872|gundam-ms-war-tcg|Series 1: Wing Team and Oz Corp|
New Edwards Base|274011|10|https://api.ccgtrader.co.uk/_/assets/o5p7otvhq6oc4koo|872|gundam-ms-war-tcg|Series 1: Wing Team and Oz Corp|
Lake Victoria Base|274012|10|https://api.ccgtrader.co.uk/_/assets/ohq81regqs08gscw|872|gundam-ms-war-tcg|Series 1: Wing Team and Oz Corp|
Luxembourg Base|274013|10|https://api.ccgtrader.co.uk/_/assets/1sdum1914oqsgw48|872|gundam-ms-war-tcg|Series 1: Wing Team and Oz Corp|
Space Fortress Libra|274014|30|https://api.ccgtrader.co.uk/_/assets/e56s1hwd1sg8oc4s|872|gundam-ms-war-tcg|Series 1: Wing Team and Oz Corp|
Corsica Base|274041|10|https://api.ccgtrader.co.uk/_/assets/o86ykq8vqescgs8g|872|gundam-ms-war-tcg|Series 1: Wing Team and Oz Corp|
St.Gabriela School|274042|10|https://api.ccgtrader.co.uk/_/assets/l9uww75czxwc4cso|872|gundam-ms-war-tcg|Series 1: Wing Team and Oz Corp|
Disputed Area|274043|20|https://api.ccgtrader.co.uk/_/assets/phb6rw9ye684wgc4|872|gundam-ms-war-tcg|Series 1: Wing Team and Oz Corp|
L5 Colony|274044|20|https://api.ccgtrader.co.uk/_/assets/7zg1xgqorr8kocs8|872|gundam-ms-war-tcg|Series 1: Wing Team and Oz Corp|
Howard's Repair Shop|274045|30|https://api.ccgtrader.co.uk/_/assets/7ks4yu1b7xc08goo|872|gundam-ms-war-tcg|Series 1: Wing Team and Oz Corp|
The Winners' Villa Basement|274046|30|https://api.ccgtrader.co.uk/_/assets/f52qki30vdw0gc4k|872|gundam-ms-war-tcg|Series 1: Wing Team and Oz Corp|
The Yangtze River|274047|30|https://api.ccgtrader.co.uk/_/assets/bh0kw1xqr0g0kkso|872|gundam-ms-war-tcg|Series 1: Wing Team and Oz Corp|
