name|id|rarity|imgURL|setID|game|set|date
Agumon Rookie|245603|10|https://api.ccgtrader.co.uk/uploads/_/originals/d95af71c-1163-406d-908a-f021a8e461ae.jpg|696|digimon-d-tector-ccg|Series 1|
Gabumon Rookie|245604|10|https://api.ccgtrader.co.uk/uploads/_/originals/90362437-0580-4133-a171-2ff1407e1ac4.jpg|696|digimon-d-tector-ccg|Series 1|
Guilmon Rookie|245605|10|https://api.ccgtrader.co.uk/uploads/_/originals/bfe13915-ac83-4d7e-b58a-2d5d74340fd3.jpg|696|digimon-d-tector-ccg|Series 1|
Gotsumon Rookie|245606|10|https://api.ccgtrader.co.uk/uploads/_/originals/aae9bed7-de01-4682-9484-73fd315ddc0d.jpg|696|digimon-d-tector-ccg|Series 1|
Kokuwamon Rookie|245607|10|https://api.ccgtrader.co.uk/uploads/_/originals/81bf771d-44a0-40cf-802f-918ddf614878.jpg|696|digimon-d-tector-ccg|Series 1|
Gizamon Rookie|245608|10|https://api.ccgtrader.co.uk/uploads/_/originals/fdb49e6d-9868-4b1c-8bad-a0e7206c03ae.jpg|696|digimon-d-tector-ccg|Series 1|
Greymon Champion C|245609|10|https://api.ccgtrader.co.uk/uploads/_/originals/0ce4dc1d-ff81-4846-8588-92010a679e48.jpg|696|digimon-d-tector-ccg|Series 1|
Garurumon Champion|245610|10|https://api.ccgtrader.co.uk/uploads/_/originals/2710eadd-6559-4b9c-9919-4579df7b1ab2.jpg|696|digimon-d-tector-ccg|Series 1|
Growlmon Champion|245611|10|https://api.ccgtrader.co.uk/uploads/_/originals/2c92e4b1-7bc3-4bb4-bd57-42c701614c21.jpg|696|digimon-d-tector-ccg|Series 1|
Shellmon Champion|245612|10|https://api.ccgtrader.co.uk/uploads/_/originals/a41bb5f5-552e-4c52-a659-3e009d198789.jpg|696|digimon-d-tector-ccg|Series 1|
Kuwagamon Champion|245613|10|https://api.ccgtrader.co.uk/uploads/_/originals/31526d01-81b2-4836-9605-f88476613ccf.jpg|696|digimon-d-tector-ccg|Series 1|
Deputymon Champion|245614|10|https://api.ccgtrader.co.uk/uploads/_/originals/755ed5a3-cf0d-4434-ae04-aa0742b1bc6a.jpg|696|digimon-d-tector-ccg|Series 1|
Numemon Champion|245615|10|https://api.ccgtrader.co.uk/uploads/_/originals/deb5b274-8bd6-4419-b966-582ef91ca092.jpg|696|digimon-d-tector-ccg|Series 1|
Thundermon Champion|245616|10|https://api.ccgtrader.co.uk/uploads/_/originals/85834827-07f0-4d5b-8234-51d19bc9fd25.jpg|696|digimon-d-tector-ccg|Series 1|
Starmon Champion|245617|10|https://api.ccgtrader.co.uk/uploads/_/originals/a784ae3d-bca2-4616-b72c-318c76d18867.jpg|696|digimon-d-tector-ccg|Series 1|
MetalGreymon Ultimate|245618|10|https://api.ccgtrader.co.uk/uploads/_/originals/7ff29629-fabf-45ff-a640-6945e337ae7e.jpg|696|digimon-d-tector-ccg|Series 1|
WereGarurumon Ultimate|245619|20|https://api.ccgtrader.co.uk/uploads/_/originals/bfa48739-b9ce-4371-99e2-5303a174b434.jpg|696|digimon-d-tector-ccg|Series 1|
WarGrowlmon Ultimate|245620|20|https://api.ccgtrader.co.uk/uploads/_/originals/3c1a611d-98d4-483c-86b0-22802adf7da6.jpg|696|digimon-d-tector-ccg|Series 1|
Etemon Ultimate|245621|20|https://api.ccgtrader.co.uk/uploads/_/originals/f04abb6e-5bae-4e31-baba-06c5f63abbd0.jpg|696|digimon-d-tector-ccg|Series 1|
SkullGreymon Ultimate|245622|20|https://api.ccgtrader.co.uk/uploads/_/originals/f1885511-7bc2-4333-bc46-a7dd935ecbd0.jpg|696|digimon-d-tector-ccg|Series 1|
Orochimon Ultimate|245623|20|https://api.ccgtrader.co.uk/uploads/_/originals/a495724d-91b8-43cb-b25c-8ca3eefe01fe.jpg|696|digimon-d-tector-ccg|Series 1|
