name|id|rarity|imgURL|setID|game|set|date
Batranzer, Swooping Beyblade|115394|20|https://api.ccgtrader.co.uk/uploads/_/originals/701a25a9-2115-5a01-87e3-e9d351aa5fb3.jpg|552|beyblade-ccg|Beyblade TCG: Collision|2003-12-01
The Chameleon, Invisible Beyblade|115395|30|https://api.ccgtrader.co.uk/uploads/_/originals/480767fd-1239-528e-8d46-e250d631f5b9.jpg|552|beyblade-ccg|Beyblade TCG: Collision|2003-12-01
Darylanzer, Hydro Beyblade|115396|20|https://api.ccgtrader.co.uk/uploads/_/originals/198276bb-10c1-5d7b-9595-4454b92a04ce.jpg|552|beyblade-ccg|Beyblade TCG: Collision|2003-12-01
Draciel, Max's Beyblade|115397|30|https://api.ccgtrader.co.uk/uploads/_/originals/095943ed-f791-5b42-b1b5-2795f81ae282.jpg|552|beyblade-ccg|Beyblade TCG: Collision|2003-12-01
Dragoon, Tyson's Beyblade|115398|2|https://api.ccgtrader.co.uk/uploads/_/originals/25d88da3-0007-5443-8919-6c997074bc50.jpg|552|beyblade-ccg|Beyblade TCG: Collision|2003-12-01
Dranzer, Kai's Beyblade|115399|2|https://api.ccgtrader.co.uk/uploads/_/originals/5bea4dfb-13a9-5341-b8b1-01f221977ffd.jpg|552|beyblade-ccg|Beyblade TCG: Collision|2003-12-01
Driger, Ray's Beyblade|115400|30|https://api.ccgtrader.co.uk/uploads/_/originals/5041635b-83d2-50fc-98d2-135dd81987ce.jpg|552|beyblade-ccg|Beyblade TCG: Collision|2003-12-01
Figelanzer, Swirling Beyblade|115401|20|https://api.ccgtrader.co.uk/uploads/_/originals/803df1fc-4125-534d-980c-271ce4162fd4.jpg|552|beyblade-ccg|Beyblade TCG: Collision|2003-12-01
Guppie, Rookie Beyblade|115402|20|https://api.ccgtrader.co.uk/uploads/_/originals/90ef0109-1917-5590-8af2-5db48393d95b.jpg|552|beyblade-ccg|Beyblade TCG: Collision|2003-12-01
Sabel Cobra, Magtram Beyblade|115403|30|https://api.ccgtrader.co.uk/uploads/_/originals/473e6618-b5d2-56b6-9abf-eb13daceb9d2.jpg|552|beyblade-ccg|Beyblade TCG: Collision|2003-12-01
All In It Together|115404|30|https://api.ccgtrader.co.uk/uploads/_/originals/8e639608-22c4-5754-b137-ccf7d6a5105f.jpg|552|beyblade-ccg|Beyblade TCG: Collision|2003-12-01
Bad Company|115405|10|https://api.ccgtrader.co.uk/uploads/_/originals/5e532a5e-c532-57b5-9b14-df83e2f8c8a1.jpg|552|beyblade-ccg|Beyblade TCG: Collision|2003-12-01
