name|id|rarity|imgURL|setID|game|set|date
Orange Peko (level 1)|967635|30|https://api.ccgtrader.co.uk/uploads/_/originals/3dd4174a-c350-4f9f-a4fe-aa5e7af3dcd2.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Orange Peko (level 2)|967636|60|https://api.ccgtrader.co.uk/uploads/_/originals/89ce1761-3e22-465a-81d6-c27c7736e4c4.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Sunny (level 1)|967637|48|https://api.ccgtrader.co.uk/uploads/_/originals/d04c3102-3315-44ca-a247-d8b3770d3ae4.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Tricker Heather|967638|30|https://api.ccgtrader.co.uk/uploads/_/originals/bb46c97a-dca6-410f-b6b8-4a1a92e1379e.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Nebula Soleil|967639|30|https://api.ccgtrader.co.uk/uploads/_/originals/15bb573f-f561-4463-9865-4ffca73e64f0.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Mia Laira|967640|30|https://api.ccgtrader.co.uk/uploads/_/originals/585d50ad-8cae-4c1f-9ae6-7019da07eeb0.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Mona Styla|967641|30|https://api.ccgtrader.co.uk/uploads/_/originals/4d098e48-a6c0-4953-baad-ce14211f237b.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Lufue Yuni|967642|48|https://api.ccgtrader.co.uk/uploads/_/originals/8a6cce1f-b023-492b-a77b-05b09e5a320e.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Crispy Cookie|967643|10|https://api.ccgtrader.co.uk/uploads/_/originals/c8ab9865-2fda-4d98-98b2-e202aef9c37b.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Bitter Chocolate|967644|10|https://api.ccgtrader.co.uk/uploads/_/originals/32ace003-14f3-4ed3-af7d-0785c4c6683c.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Melty Ice Cream|967645|10|https://api.ccgtrader.co.uk/uploads/_/originals/45aa4035-6088-44b6-8975-7ae240517f94.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Rich Macaron|967646|10|https://api.ccgtrader.co.uk/uploads/_/originals/35d308c2-a093-478b-baca-941f2fa6ce3b.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Juicy Crepe|967647|10|https://api.ccgtrader.co.uk/uploads/_/originals/f6ca7c14-fd6a-4875-ad01-558ccc2f1d5c.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Strawberry on the Shortcake|967648|10|https://api.ccgtrader.co.uk/uploads/_/originals/1d190468-4130-4f0b-9ff8-6f46eb69b1ce.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Zhu Bajie|967649|30|https://api.ccgtrader.co.uk/uploads/_/originals/b1f285a6-a69a-465d-a4be-f9b5f148b604.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Toxic Turkey|967650|10|https://api.ccgtrader.co.uk/uploads/_/originals/311c6bf5-3dd8-424f-81e0-af6b01de8052.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Hard Pancake|967651|10|https://api.ccgtrader.co.uk/uploads/_/originals/0c29a936-9a19-4c66-b494-29d52d01741b.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Mixed Parfait|967652|10|https://api.ccgtrader.co.uk/uploads/_/originals/e28c19f1-ba19-4400-b3b7-862e60faa019.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Afternoon Tea|967653|20|https://api.ccgtrader.co.uk/uploads/_/originals/295c023b-2340-43b5-b7b9-3d01555e5de2.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Cerberoast|967654|20|https://api.ccgtrader.co.uk/uploads/_/originals/bc189fcd-878d-4ddb-a544-675191ee2b48.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Bealzeborne, Demon of Gluttony|967655|30|https://api.ccgtrader.co.uk/uploads/_/originals/c1c4d62e-2abc-4551-bc23-c0eccd35b937.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Evaporation|967656|20|https://api.ccgtrader.co.uk/uploads/_/originals/72ea19f6-823d-4232-bcff-7affb6a127e4.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Price of Overeating|967657|20|https://api.ccgtrader.co.uk/uploads/_/originals/0931226f-7b5c-4bc0-baf1-bc225290501d.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Carrion Scrounge|967658|20|https://api.ccgtrader.co.uk/uploads/_/originals/a21047c6-b91f-401a-8696-5ffa5d9bbdeb.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Paper Eating Virus|967659|20|https://api.ccgtrader.co.uk/uploads/_/originals/5e4e70a2-ee0b-4284-aa87-75ecba9ac4f6.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Total Eclipse|967660|20|https://api.ccgtrader.co.uk/uploads/_/originals/37950a61-3225-48a4-8c74-65b5f38b1560.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Sunbeam Roasting|967661|20|https://api.ccgtrader.co.uk/uploads/_/originals/f407106b-1c4d-43be-8cc1-7a32a65781f3.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Carella (level 1)|967662|30|https://api.ccgtrader.co.uk/uploads/_/originals/24b28c6b-bf97-41b7-a3da-628bada71c05.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Kiro Centura|967663|30|https://api.ccgtrader.co.uk/uploads/_/originals/2c1b59fb-2a90-4aa7-a936-bd39065a7425.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Shera Angellica|967664|48|https://api.ccgtrader.co.uk/uploads/_/originals/c9c2e2ac-73e8-40f9-818b-fad716bf90ef.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Crimson Nicola|967665|30|https://api.ccgtrader.co.uk/uploads/_/originals/32f782ac-75c6-4bd9-87e5-aa3e28330982.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Passion Wing (level 1)|967666|30|https://api.ccgtrader.co.uk/uploads/_/originals/3bc7256a-c70c-4860-ac9a-60d7f2ae64ad.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Passion Wing (level 2)|967667|60|https://api.ccgtrader.co.uk/uploads/_/originals/de5513e8-770b-4b8b-a152-3e9b8d5143c2.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Paruetta|967668|30|https://api.ccgtrader.co.uk/uploads/_/originals/8ab8238c-45b1-4b5a-8b14-ae15ee568245.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Flame Rouge|967669|48|https://api.ccgtrader.co.uk/uploads/_/originals/f4b7d127-cae1-4f79-a372-0f75bcf3ce49.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Disembodied Soul|967670|10|https://api.ccgtrader.co.uk/uploads/_/originals/82c6ea87-0fc3-4ed7-8540-4f0b33a03bc6.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Straw Effigy|967671|10|https://api.ccgtrader.co.uk/uploads/_/originals/a4d94e17-c132-481a-9ff8-2cf4d5878ed9.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Explosive Bamboo|967672|10|https://api.ccgtrader.co.uk/uploads/_/originals/f0f56747-ab91-458c-9ba5-a4b5868d874c.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Little Match Girl|967673|10|https://api.ccgtrader.co.uk/uploads/_/originals/4c3bb73d-2e5b-4fbe-a2c7-a6f94db58070.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Tanuki of Kachi-Kachi Mountain|967674|10|https://api.ccgtrader.co.uk/uploads/_/originals/7b0aabb8-9b21-4737-9452-6f8c94455814.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Patience Bag|967675|10|https://api.ccgtrader.co.uk/uploads/_/originals/5729f48f-9a5f-4bb7-8bbf-74c353fdf9fd.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Yoshitsune|967676|30|https://api.ccgtrader.co.uk/uploads/_/originals/1d293530-ca71-441b-b2d3-8a7b65a2ed2b.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Wandering Flames|967677|10|https://api.ccgtrader.co.uk/uploads/_/originals/c7e69d7c-9355-4528-8714-14cd0c552004.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Firewheel|967678|10|https://api.ccgtrader.co.uk/uploads/_/originals/15dceff2-3206-4900-9c81-303e6dc0ff64.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Salamander|967679|10|https://api.ccgtrader.co.uk/uploads/_/originals/fe9dba2e-9671-4418-bda4-d4e8d2e853e1.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
Asura, the Three Sided|967680|20|https://api.ccgtrader.co.uk/uploads/_/originals/6ea06d00-60b7-4ae6-a4a0-1e6513967daf.jpg|5037|caster-chronicles-tcg|1st Season Vol. 1: The Magic Battle Begins|2017-10-20
