name|id|rarity|imgURL|setID|game|set|date
Arrow Blow|478838|10|https://api.ccgtrader.co.uk/uploads/_/originals/28acff24-a069-4508-ab31-e8a57ae5f57f.jpg|1416|maplestory-itcg|Set 1|
Battle Bow|478839|20|https://api.ccgtrader.co.uk/uploads/_/originals/b648e275-fe7c-46d1-95a9-93ef9f39e607.jpg|1416|maplestory-itcg|Set 1|
Black Robin Hat|478840|10|https://api.ccgtrader.co.uk/uploads/_/originals/ee13d458-de2b-4129-be55-994ff944c2a9.jpg|1416|maplestory-itcg|Set 1|
Blue Diros|478841|10|https://api.ccgtrader.co.uk/uploads/_/originals/86ec4303-0359-4f25-b862-cb3b1c8be467.jpg|1416|maplestory-itcg|Set 1|
Cerebes|478842|30|https://api.ccgtrader.co.uk/uploads/_/originals/9ef89004-a579-4423-a8bc-473b440c4c94.jpg|1416|maplestory-itcg|Set 1|
Curse Eye|478843|10|https://api.ccgtrader.co.uk/uploads/_/originals/d475fb05-2cca-4cca-85b8-dfec9b7185f9.jpg|1416|maplestory-itcg|Set 1|
Drake|478844|30|https://api.ccgtrader.co.uk/uploads/_/originals/c33401c1-5bc7-4719-bc12-28c1dd82f4fc.jpg|1416|maplestory-itcg|Set 1|
Fairy|478845|20|https://api.ccgtrader.co.uk/uploads/_/originals/f62ba6c9-343f-4df2-a952-f87e8e9cdc45.jpg|1416|maplestory-itcg|Set 1|
Focus|478846|30|https://api.ccgtrader.co.uk/uploads/_/originals/a370a152-3692-47d8-a952-d3a2ec4ad7ad.jpg|1416|maplestory-itcg|Set 1|
Golden Crow|478847|30|https://api.ccgtrader.co.uk/uploads/_/originals/87358cec-8494-44e6-a2da-7cb13b835153.jpg|1416|maplestory-itcg|Set 1|
Green Trixter|478848|10|https://api.ccgtrader.co.uk/uploads/_/originals/3c1ea033-d080-4464-ac9b-ef7df7da2bb6.jpg|1416|maplestory-itcg|Set 1|
Hector|478849|10|https://api.ccgtrader.co.uk/uploads/_/originals/184b5a16-b781-469f-bb78-bf20462b349e.jpg|1416|maplestory-itcg|Set 1|
Horned Mushroom|478850|10|https://api.ccgtrader.co.uk/uploads/_/originals/95142403-1e3e-4f34-aa9d-8ba254cf63ff.jpg|1416|maplestory-itcg|Set 1|
