name|id|rarity|imgURL|setID|game|set|date
Lieutenant Commander Montgomery Scott|292528|20|https://api.ccgtrader.co.uk/uploads/_/originals/3483f709-0bbf-451d-a0a4-7dd0c35a7ab1.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant D'Amato|292534|10|https://api.ccgtrader.co.uk/uploads/_/originals/b819261b-333e-4963-99b9-d7f8692e4435.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant DePaul|292536|20|https://api.ccgtrader.co.uk/uploads/_/originals/8b396995-a16a-49a0-bfd2-05c972127533.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant DeSalle|292537|30|https://api.ccgtrader.co.uk/uploads/_/originals/245b2835-5388-448f-ad98-606f6071434f.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Esteban Rodriguez|292565|10|https://api.ccgtrader.co.uk/uploads/_/originals/d3bf56e6-4a0d-40fe-a12c-0013b15dd227.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Gaetano|292541|10|https://api.ccgtrader.co.uk/uploads/_/originals/4175d6eb-9dee-4df6-b1c5-cc3ee2941c86.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Hikaru Sulu|292529|20|https://api.ccgtrader.co.uk/uploads/_/originals/2ea49680-32e9-4ae1-a2f3-1c88a68d5154.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Karl Jaeger|292544|30|https://api.ccgtrader.co.uk/uploads/_/originals/c8e21232-8cb8-453f-8080-4a08b8a9713a.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Kevin T. Riley|292564|30|https://api.ccgtrader.co.uk/uploads/_/originals/81c15565-b232-4fce-8607-382788ddf3db.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Kyle|292547|34|https://api.ccgtrader.co.uk/uploads/_/originals/0842551b-d9f1-4bd4-b32e-e57879b7b037.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Lang|292548|10|https://api.ccgtrader.co.uk/uploads/_/originals/8298f76c-2350-4a7f-b1d3-98a7c471a056.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Latimer|292549|20|https://api.ccgtrader.co.uk/uploads/_/originals/be360d8f-88e0-419b-9fa0-7d1ab2276faf.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Lee Kelso|292546|20|https://api.ccgtrader.co.uk/uploads/_/originals/5a8ac763-1194-4280-b9ab-ca7fe2e4feec.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Leslie|292551|20|https://api.ccgtrader.co.uk/uploads/_/originals/505d9ac0-89d8-4eca-a125-1b480c6f7f6a.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Lindstrom|292552|20|https://api.ccgtrader.co.uk/uploads/_/originals/d6df3b0f-e24b-4ccb-a918-3beeb3ffc20c.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Marla McGivers|292556|34|https://api.ccgtrader.co.uk/uploads/_/originals/f07377f5-8b4c-458b-bcb1-b21b9ece7fc2.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Mira Romaine|292531|30|https://api.ccgtrader.co.uk/uploads/_/originals/3d81849b-982c-4ea5-b5bd-0e573dbbc1e4.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant O'Neil|292560|10|https://api.ccgtrader.co.uk/uploads/_/originals/17e18833-48e3-4a0e-85e5-8ff34bde0dc5.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Painter|292561|20|https://api.ccgtrader.co.uk/uploads/_/originals/f529fd1e-ccef-4b23-a5c9-34cbe575548f.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Robert Tomlinson|292570|10|https://api.ccgtrader.co.uk/uploads/_/originals/b2a4c871-e1ae-4e29-bf39-77fc5c8858e4.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Spinelli|292568|10|https://api.ccgtrader.co.uk/uploads/_/originals/5683b60b-7c54-4d66-b07a-21dab74f64ce.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Thom Parham|292693|34|https://api.ccgtrader.co.uk/uploads/_/originals/392f8182-a7f8-4010-aee7-86cae554a53f.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Uhura|292530|20|https://api.ccgtrader.co.uk/uploads/_/originals/7426be0a-7408-43b5-87ef-167a253ab16b.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Nurse Christine Chapel|292525|20|https://api.ccgtrader.co.uk/uploads/_/originals/5771547f-737c-4cf3-a079-ff22fc32a744.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Transporter Technician Wilson|292572|30|https://api.ccgtrader.co.uk/uploads/_/originals/c32ce136-b41a-46f5-a800-8ed157d69dd8.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Yeoman Janice Rand|292527|20|https://api.ccgtrader.co.uk/uploads/_/originals/752df752-8094-4757-836d-5a645d6ee2ca.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Yeoman Karen Greene|292542|10|https://api.ccgtrader.co.uk/uploads/_/originals/44fd180e-314a-4179-9b88-744fb61baf8c.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Yeoman Martha Landon|292538|30|https://api.ccgtrader.co.uk/uploads/_/originals/471ca146-25dc-4e93-a8d2-75b652edfe02.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Yeoman Mears|292557|10|https://api.ccgtrader.co.uk/uploads/_/originals/8799e84a-68a5-48ab-b34b-ec40687b997d.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Yeoman Smith|292567|10|https://api.ccgtrader.co.uk/uploads/_/originals/54878b01-106f-47ce-b09c-857ac19d4289.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Yeoman Teresa Ross|292566|10|https://api.ccgtrader.co.uk/uploads/_/originals/d6fc9a8b-b8a2-4e60-bc2c-3d9d577cc8ba.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Yeoman Tina Lawton|292550|20|https://api.ccgtrader.co.uk/uploads/_/originals/2885b4b3-5ddf-4b80-ae76-f46ad1623a2f.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Alice in Wonderland|292573|10|https://api.ccgtrader.co.uk/uploads/_/originals/c3e02c69-97f1-457e-a2c7-5aa8b8329992.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Alien Savages|292574|10|https://api.ccgtrader.co.uk/uploads/_/originals/6b992706-5813-46ac-9366-d33d01968c69.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Andorians|292576|10|https://api.ccgtrader.co.uk/uploads/_/originals/bb1d1ccb-2d03-49ff-a517-a5f1cdef6932.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Android Duplicate!|292578|34|https://api.ccgtrader.co.uk/uploads/_/originals/fcd83d3f-ea14-4d64-8d70-259157fd16b2.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Ayelborne|292579|30|https://api.ccgtrader.co.uk/uploads/_/originals/f8629fe4-3983-48e7-bf26-b23ae327a040.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Balok|292580|30|https://api.ccgtrader.co.uk/uploads/_/originals/6dc83c5a-ed05-463b-a3e8-9493398adbe0.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Bele|292616|30|https://api.ccgtrader.co.uk/uploads/_/originals/63115d3e-5e21-481c-92c0-170317903bc5.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Ben Childress|292581|20|https://api.ccgtrader.co.uk/uploads/_/originals/82740661-d444-4854-8aac-d56fe9c59579.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Bilar|292582|20|https://api.ccgtrader.co.uk/uploads/_/originals/5b4f7f14-1b11-422e-9b1a-3bec2f6c4884.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Black Knight|292583|20|https://api.ccgtrader.co.uk/uploads/_/originals/e87a1a12-be95-4de6-9c90-699765cd84e4.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Capellans|292585|10|https://api.ccgtrader.co.uk/uploads/_/originals/56ad2102-3b81-452f-93b8-4aa1b1e70094.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Claudius Marcus|292624|30|https://api.ccgtrader.co.uk/uploads/_/originals/fbb2ddbb-4015-4c45-9447-8762b5e958cd.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
