name|id|rarity|imgURL|setID|game|set|date
Sunscale Dragon|862019|40|https://api.ccgtrader.co.uk/_/assets/hw3val1dgc0s4cwg|4340|dragoborne-rise-to-supremacy|BT01 Rally to War|2017-08-17
Angelica, the Light of Logres|862020|40|https://api.ccgtrader.co.uk/_/assets/gn0q6lmn1ios8kso|4340|dragoborne-rise-to-supremacy|BT01 Rally to War|2017-08-17
Kaddar, Dragonmage Adept|862021|30|https://api.ccgtrader.co.uk/_/assets/d9ossc7jqwowgk84|4340|dragoborne-rise-to-supremacy|BT01 Rally to War|2017-08-17
Tariel, High Priestess|862022|30|https://api.ccgtrader.co.uk/_/assets/n98kb5jt5pcgkcsk|4340|dragoborne-rise-to-supremacy|BT01 Rally to War|2017-08-17
Darion, Brutal Enforcer|862023|30|https://api.ccgtrader.co.uk/_/assets/mpbus0gln40wkooo|4340|dragoborne-rise-to-supremacy|BT01 Rally to War|2017-08-17
Sanctuary Enforcer|862024|30|https://api.ccgtrader.co.uk/_/assets/euh39cj6yg0k08wk|4340|dragoborne-rise-to-supremacy|BT01 Rally to War|2017-08-17
Elven Bladesmith|862025|30|https://api.ccgtrader.co.uk/_/assets/hl77ffwv0n408scg|4340|dragoborne-rise-to-supremacy|BT01 Rally to War|2017-08-17
Centaur Ranger|862026|20|https://api.ccgtrader.co.uk/_/assets/frty3qy5s14o4cgc|4340|dragoborne-rise-to-supremacy|BT01 Rally to War|2017-08-17
Sunscale Swordsman|862027|20|https://api.ccgtrader.co.uk/_/assets/46vuobslje2og4o0|4340|dragoborne-rise-to-supremacy|BT01 Rally to War|2017-08-17
Azraeus, Blade of the Justicar|862028|20|https://api.ccgtrader.co.uk/_/assets/5vy7jdhwsa4o4w8w|4340|dragoborne-rise-to-supremacy|BT01 Rally to War|2017-08-17
Spellweaver Magus|862029|20|https://api.ccgtrader.co.uk/_/assets/5qk5hdeuxbgo4ok8|4340|dragoborne-rise-to-supremacy|BT01 Rally to War|2017-08-17
Frontline Stormer|862030|10|https://api.ccgtrader.co.uk/_/assets/7jqs9gxmedk44wcg|4340|dragoborne-rise-to-supremacy|BT01 Rally to War|2017-08-17
Veteran Knight|862031|10|https://api.ccgtrader.co.uk/_/assets/2526ak7u4c5cswcg|4340|dragoborne-rise-to-supremacy|BT01 Rally to War|2017-08-17
