name|id|rarity|imgURL|setID|game|set|date
Arias|418474|10|https://api.ccgtrader.co.uk/uploads/_/originals/b6db17d6-a498-4a4c-80a2-402dfd65e065.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Attacat|418475|20|https://api.ccgtrader.co.uk/uploads/_/originals/11e4e0ba-56f9-411d-b776-07d655ca1a02.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Blazier|798279|48|https://api.ccgtrader.co.uk/uploads/_/originals/d719eb40-9b97-4f9e-90ee-1fc7a8c4e2ef.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Blugon|798280|30|https://api.ccgtrader.co.uk/uploads/_/originals/013c4b1f-5995-45e5-bdc9-3525fd9c9b77.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Bodal|418478|10|https://api.ccgtrader.co.uk/uploads/_/originals/5c72526f-e4bf-4e1a-bdfb-dd281ccf1455.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Crawsectus|798281|48|https://api.ccgtrader.co.uk/uploads/_/originals/a6ec76a6-01e4-46c1-9170-f79c10f23c70.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Donmar|798282|30|https://api.ccgtrader.co.uk/uploads/_/originals/99686292-d5eb-4ea8-9bac-44e90fbf9211.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Dractyl|418481|10|https://api.ccgtrader.co.uk/uploads/_/originals/e5f78cae-c358-4ea9-b285-9427dad82d21.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Frafdo|418482|20|https://api.ccgtrader.co.uk/uploads/_/originals/f68ab57f-a283-411e-a3eb-6224e7377bc2.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Gespedan|418483|10|https://api.ccgtrader.co.uk/uploads/_/originals/51ce66bb-a108-4d0a-9fa1-927bc246bcb8.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Heptadd|798283|40|https://api.ccgtrader.co.uk/uploads/_/originals/05c4d6cd-9044-4269-9579-9bf5be6ce2d8.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Intress|798284|48|https://api.ccgtrader.co.uk/uploads/_/originals/c5f64d64-1a6b-4928-ac3a-0f3a17e4209e.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Laarina|418486|20|https://api.ccgtrader.co.uk/uploads/_/originals/425db930-4133-414c-a5e2-1ae2283c2b5e.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Maglax|418487|20|https://api.ccgtrader.co.uk/uploads/_/originals/66117d36-80b8-4495-b5f4-d2e289dedb91.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Maxxor|798285|40|https://api.ccgtrader.co.uk/uploads/_/originals/c15cede6-503c-4e3f-9e73-b32e14d3cdba.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Najarin|798286|30|https://api.ccgtrader.co.uk/uploads/_/originals/e27efe6f-bb74-41f4-be69-f43dfca137ad.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Owis|798287|48|https://api.ccgtrader.co.uk/uploads/_/originals/1ccce229-946a-4ece-89e3-7e7f794ba95c.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Psimion|418491|10|https://api.ccgtrader.co.uk/uploads/_/originals/afffc6cd-ede6-44bc-8ee9-a1cd6ca5a719.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Rellim|418492|20|https://api.ccgtrader.co.uk/uploads/_/originals/6b48fbd9-7157-405f-ade7-99424d52cbe0.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Slurhk|418493|10|https://api.ccgtrader.co.uk/uploads/_/originals/43631e1a-c1ce-4e14-903c-1fec48669727.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Staluk|798288|30|https://api.ccgtrader.co.uk/uploads/_/originals/f1b8bb34-9cba-4f25-a239-b1dd030ae5ea.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Tangath Toborn|798289|48|https://api.ccgtrader.co.uk/uploads/_/originals/9751d028-d357-40a4-b50e-289af0ea4704.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Tartarek|798290|30|https://api.ccgtrader.co.uk/uploads/_/originals/4e026aa2-0c5c-43b1-83e7-5260481288f8.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Velreth|418497|20|https://api.ccgtrader.co.uk/uploads/_/originals/9b82212b-f6c0-4957-bb5d-6df3df91c2fc.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Vidav|418498|10|https://api.ccgtrader.co.uk/uploads/_/originals/a33ef253-5802-491f-a9f3-01ced1bd23ec.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Xaerv|418499|20|https://api.ccgtrader.co.uk/uploads/_/originals/71427f1a-563e-497d-8ac4-c71593877857.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Yokkis|798291|48|https://api.ccgtrader.co.uk/uploads/_/originals/0e8f1fd3-6ae3-4208-bd48-8da6a197a6dc.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Zalic|798292|30|https://api.ccgtrader.co.uk/uploads/_/originals/01b8ffd7-583f-49c5-adec-3b409d0898be.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Barath Beyond|798293|48|https://api.ccgtrader.co.uk/uploads/_/originals/1b70b04c-2438-4aca-ba49-c44283c640c2.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
Borth-Majar|798294|48|https://api.ccgtrader.co.uk/uploads/_/originals/ed27a18f-46ee-4c42-aa47-e3c42d4fade6.jpg|1306|chaotic-tcg|Dawn of Perim|2007-06-27
