name|id|rarity|imgURL|setID|game|set|date
Aura Of Invulnerability|14308|20|https://api.ccgtrader.co.uk/uploads/_/originals/967c7dc8-e503-5e23-b6d6-8aa625ed354d.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
First Aid|14309|10|https://api.ccgtrader.co.uk/uploads/_/originals/7f4bb24b-6329-5610-acfc-1fb51a81c374.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Face-Off|14310|20|https://api.ccgtrader.co.uk/uploads/_/originals/357cbddc-1337-5f1a-aabd-93d8388b7de5.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Rending Claws|14311|20|https://api.ccgtrader.co.uk/uploads/_/originals/848f81d1-c9d7-574c-8516-bb83883b9066.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Fast Strike|14312|30|https://api.ccgtrader.co.uk/uploads/_/originals/74f2ed85-0a4e-54ed-baa4-9d2ff40a2e3e.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Sneak Attack|14313|30|https://api.ccgtrader.co.uk/uploads/_/originals/4538171e-ab0b-533d-b853-f00e1ec41cd1.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Ambush|14314|10|https://api.ccgtrader.co.uk/uploads/_/originals/4ff3ed05-a1a0-5138-b09b-dff01a85ea0b.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Kick|14315|10|https://api.ccgtrader.co.uk/uploads/_/originals/74090700-2dde-5716-a5b7-5b4d206b08b2.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Gun Jammed|14316|10|https://api.ccgtrader.co.uk/uploads/_/originals/31ee5645-890c-58de-8c72-378981a188a6.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Hide|14317|10|https://api.ccgtrader.co.uk/uploads/_/originals/4633e500-ea43-5498-876a-874bc5d73455.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Dodge|14318|20|https://api.ccgtrader.co.uk/uploads/_/originals/558d4898-6a00-5e8e-ba63-13d9a0919531.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Nerve Strike|14319|30|https://api.ccgtrader.co.uk/uploads/_/originals/1d0b588a-51ed-53d6-a3ba-f0bd84e3bae3.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Webbed|14320|30|https://api.ccgtrader.co.uk/uploads/_/originals/76e3b923-ab1d-5bd3-a11b-b12974655fcc.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Vicious Fangs|14321|20|https://api.ccgtrader.co.uk/uploads/_/originals/b2935ccc-6b11-57cd-9862-654f33842430.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Spin Kick|14322|30|https://api.ccgtrader.co.uk/uploads/_/originals/b5de6eea-4304-5e3f-b456-f6ff4669b991.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Mind Control|14323|30|https://api.ccgtrader.co.uk/uploads/_/originals/bb9e4cd6-837a-57de-8785-d3b37daaa438.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Alien Stealth Technology|14324|20|https://api.ccgtrader.co.uk/uploads/_/originals/92623617-7f9d-5498-aea9-3402c5cc8ca6.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Block And Attack|14325|30|https://api.ccgtrader.co.uk/uploads/_/originals/36aee950-5398-5c0e-8e22-dd18315a87c6.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Block|14326|20|https://api.ccgtrader.co.uk/uploads/_/originals/a67c91ae-61dc-54dc-b2ec-d2cf2168faa1.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Body Armor|14327|20|https://api.ccgtrader.co.uk/uploads/_/originals/99d80826-290a-5a3b-91b3-52cb458242c5.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Disarm|14328|30|https://api.ccgtrader.co.uk/uploads/_/originals/3ee0246a-1a14-5f57-afd1-ba27a1c8bccc.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Running Gun Battle|14329|20|https://api.ccgtrader.co.uk/uploads/_/originals/52d81c1e-b74c-537f-bea0-03d9554e2baa.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
Fascination|14330|20|https://api.ccgtrader.co.uk/uploads/_/originals/b12e1af6-8fe7-5dae-b068-c3dadc49ab95.jpg|85|the-x-files-ccg|The X-Files CCG: Premiere|1996-11-01
